character,server,region,class,spec,hero_talent,role,dungeon,key_level,duration_s,damage_done,dps,deaths,item_level,score,medal,affixes,report_code,fight_id,started_at
Demofake00,Demo Realm,TW,Warrior,Protection,Mountain Thane,Tank,Pit of Saron,25,1553.7,239117344,153897.3,1,292.0,560.0,gold,9|10|147,FAKEDEMO,0,2026-07-01 12:00:00.000
Demofake01,Demo Realm,KR,Priest,Discipline,Oracle,Healer,Pit of Saron,25,1553.7,100555444,64718.1,1,292.0,560.0,gold,9|10|147,FAKEDEMO,0,2026-07-01 12:00:00.000
Demofake02,Demo Realm,TW,Mage,Frost,Frostfire,DPS,Skyreach,25,1553.7,380343962,244791.6,0,292.0,560.0,gold,9|10|147,FAKEDEMO,0,2026-07-01 12:00:00.000
Demofake03,Demo Realm,KR,Warlock,Demonology,Diabolist,DPS,Windrunner Spire,25,1553.7,350946842,225871.5,2,292.0,560.0,gold,9|10|147,FAKEDEMO,0,2026-07-01 12:00:00.000
Demofake04,Demo Realm,TW,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,25,1553.7,379617663,244324.2,0,292.0,560.0,gold,9|10|147,FAKEDEMO,0,2026-07-01 12:00:00.000
Demofake10,Demo Realm,TW,Druid,Guardian,Elune's Chosen,Tank,Windrunner Spire,25,1711.1,257595489,150548.0,0,292.0,560.0,gold,9|10|147,FAKEDEMO,1,2026-07-01 12:00:00.000
Demofake11,Demo Realm,TW,Monk,Mistweaver,Conduit of the Celestials,Healer,Skyreach,25,1711.1,117730818,68806.1,0,292.0,560.0,gold,9|10|147,FAKEDEMO,1,2026-07-01 12:00:00.000
Demofake12,Demo Realm,KR,DemonHunter,Devourer,Annihilator,DPS,Skyreach,25,1711.1,432891522,252997.3,0,292.0,560.0,gold,9|10|147,FAKEDEMO,1,2026-07-01 12:00:00.000
Demofake13,Demo Realm,TW,Evoker,Augmentation,Scalecommander,DPS,Skyreach,25,1711.1,402165581,235040.0,0,292.0,560.0,gold,9|10|147,FAKEDEMO,1,2026-07-01 12:00:00.000
Demofake14,Demo Realm,TW,Hunter,BeastMastery,Pack Leader,DPS,Skyreach,25,1711.1,434819233,254124.0,0,292.0,560.0,gold,9|10|147,FAKEDEMO,1,2026-07-01 12:00:00.000
Demofake20,Demo Realm,TW,Warrior,Protection,Mountain Thane,Tank,Skyreach,25,1692.1,253389286,149749.2,0,292.0,560.0,gold,9|10|147,FAKEDEMO,2,2026-07-01 12:00:00.000
Demofake21,Demo Realm,KR,Priest,Discipline,Oracle,Healer,Skyreach,25,1692.1,104222547,61593.9,1,292.0,560.0,gold,9|10|147,FAKEDEMO,2,2026-07-01 12:00:00.000
Demofake22,Demo Realm,TW,Mage,Frost,Frostfire,DPS,Skyreach,25,1692.1,395045680,233466.0,2,292.0,560.0,gold,9|10|147,FAKEDEMO,2,2026-07-01 12:00:00.000
Demofake23,Demo Realm,KR,Warlock,Demonology,Diabolist,DPS,Windrunner Spire,25,1692.1,369751381,218517.5,0,292.0,560.0,gold,9|10|147,FAKEDEMO,2,2026-07-01 12:00:00.000
Demofake24,Demo Realm,TW,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Skyreach,25,1692.1,374982220,221608.8,0,292.0,560.0,gold,9|10|147,FAKEDEMO,2,2026-07-01 12:00:00.000
Demofake30,Demo Realm,KR,Druid,Guardian,Elune's Chosen,Tank,Pit of Saron,25,1683.7,220173247,130771.2,2,292.0,560.0,gold,9|10|147,FAKEDEMO,3,2026-07-01 12:00:00.000
Demofake31,Demo Realm,TW,Monk,Mistweaver,Conduit of the Celestials,Healer,Windrunner Spire,25,1683.7,97596223,57967.0,1,292.0,560.0,gold,9|10|147,FAKEDEMO,3,2026-07-01 12:00:00.000
Demofake32,Demo Realm,TW,DemonHunter,Devourer,Annihilator,DPS,Pit of Saron,25,1683.7,370390074,219992.0,0,292.0,560.0,gold,9|10|147,FAKEDEMO,3,2026-07-01 12:00:00.000
Demofake33,Demo Realm,TW,Evoker,Augmentation,Scalecommander,DPS,Pit of Saron,25,1683.7,399034910,237005.5,2,292.0,560.0,gold,9|10|147,FAKEDEMO,3,2026-07-01 12:00:00.000
Demofake34,Demo Realm,KR,Hunter,BeastMastery,Pack Leader,DPS,Windrunner Spire,25,1683.7,368485176,218860.6,2,292.0,560.0,gold,9|10|147,FAKEDEMO,3,2026-07-01 12:00:00.000
Demofake40,Demo Realm,KR,Warrior,Protection,Mountain Thane,Tank,Windrunner Spire,25,1818.8,277659409,152657.5,0,292.0,560.0,gold,9|10|147,FAKEDEMO,4,2026-07-01 12:00:00.000
Demofake41,Demo Realm,TW,Priest,Discipline,Oracle,Healer,Windrunner Spire,25,1818.8,116139478,63853.6,2,292.0,560.0,gold,9|10|147,FAKEDEMO,4,2026-07-01 12:00:00.000
Demofake42,Demo Realm,TW,Mage,Frost,Frostfire,DPS,Skyreach,25,1818.8,397186271,218373.5,0,292.0,560.0,gold,9|10|147,FAKEDEMO,4,2026-07-01 12:00:00.000
Demofake43,Demo Realm,TW,Warlock,Demonology,Diabolist,DPS,Pit of Saron,25,1818.8,408737943,224724.6,1,292.0,560.0,gold,9|10|147,FAKEDEMO,4,2026-07-01 12:00:00.000
Demofake44,Demo Realm,KR,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Pit of Saron,25,1818.8,413180429,227167.1,0,292.0,560.0,gold,9|10|147,FAKEDEMO,4,2026-07-01 12:00:00.000
Demofake50,Demo Realm,TW,Druid,Guardian,Elune's Chosen,Tank,Windrunner Spire,25,1601.4,238936133,149206.1,0,292.0,560.0,gold,9|10|147,FAKEDEMO,5,2026-07-01 12:00:00.000
Demofake51,Demo Realm,KR,Monk,Mistweaver,Conduit of the Celestials,Healer,Pit of Saron,25,1601.4,77925781,48661.5,2,292.0,560.0,gold,9|10|147,FAKEDEMO,5,2026-07-01 12:00:00.000
Demofake52,Demo Realm,TW,DemonHunter,Devourer,Annihilator,DPS,Windrunner Spire,25,1601.4,353953721,221030.0,2,292.0,560.0,gold,9|10|147,FAKEDEMO,5,2026-07-01 12:00:00.000
Demofake53,Demo Realm,TW,Evoker,Augmentation,Scalecommander,DPS,Skyreach,25,1601.4,382397988,238792.3,1,292.0,560.0,gold,9|10|147,FAKEDEMO,5,2026-07-01 12:00:00.000
Demofake54,Demo Realm,KR,Hunter,BeastMastery,Pack Leader,DPS,Pit of Saron,25,1601.4,413789692,258395.2,0,292.0,560.0,gold,9|10|147,FAKEDEMO,5,2026-07-01 12:00:00.000
