character,server,region,class,spec,hero_talent,role,dungeon,key_level,duration_s,damage_done,dps,deaths,item_level,score,medal,affixes,report_code,fight_id,started_at
Oconnswarren,Frostmourne,US,Druid,Guardian,Elune's Chosen,Tank,Pit of Saron,23,1718.3,243537490,141727.6,0,288,531.87916666667,bronze,9|10|147,fkJ8nYm4gRDMwWr7,5,2026-06-10 11:42:00.892
Piryuette,Frostmourne,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Pit of Saron,23,1718.3,93545784,54439.3,0,290,531.87916666667,bronze,9|10|147,fkJ8nYm4gRDMwWr7,5,2026-06-10 11:42:00.892
Staypoordk,Frostmourne,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Pit of Saron,23,1718.3,452187709,263152.4,0,290,531.87916666667,bronze,9|10|147,fkJ8nYm4gRDMwWr7,5,2026-06-10 11:42:00.892
Lexiuwu,Frostmourne,US,DemonHunter,Devourer,Annihilator,DPS,Pit of Saron,23,1718.3,417337109,242871.0,0,290,531.87916666667,bronze,9|10|147,fkJ8nYm4gRDMwWr7,5,2026-06-10 11:42:00.892
Jaccflap,Frostmourne,US,Evoker,Augmentation,Scalecommander,DPS,Pit of Saron,23,1718.3,415186600,241619.5,0,290,531.87916666667,bronze,9|10|147,fkJ8nYm4gRDMwWr7,5,2026-06-10 11:42:00.892
Lambodriver,Illidan,US,Druid,Guardian,Elune's Chosen,Tank,Seat of the Triumvirate,23,1994.6,243219105,121937.8,0,290,530.99363970588,bronze,9|10|147,jKyHbBpYGJa8fqcm,11,2026-06-09 22:50:37.071
Jdotchi,Illidan,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Seat of the Triumvirate,23,1994.6,113641687,56974.2,0,290,530.99363970588,bronze,9|10|147,jKyHbBpYGJa8fqcm,11,2026-06-09 22:50:37.071
Chainbeamm,Stormrage,US,DemonHunter,Devourer,Annihilator,DPS,Seat of the Triumvirate,23,1994.6,465181401,233218.5,0,290,530.99363970588,bronze,9|10|147,jKyHbBpYGJa8fqcm,11,2026-06-09 22:50:37.071
Lizzimcguire,Zul'jin,US,Evoker,Augmentation,Scalecommander,DPS,Seat of the Triumvirate,23,1994.6,460619693,230931.5,0,289,530.99363970588,bronze,9|10|147,jKyHbBpYGJa8fqcm,11,2026-06-09 22:50:37.071
Stinkguy,Illidan,US,DeathKnight,Unholy,Rider of the Apocalypse,DPS,Seat of the Triumvirate,23,1994.6,431372999,216268.7,0,290,530.99363970588,bronze,9|10|147,jKyHbBpYGJa8fqcm,11,2026-06-09 22:50:37.071
