character,server,region,class,spec,hero_talent,role,dungeon,key_level,duration_s,damage_done,dps,deaths,item_level,score,medal,affixes,report_code,fight_id,started_at
Olafr,Nobundo,US,Warrior,Protection,Colossus,Tank,Ruby Life Pools,12,1164.4,160528302,137869.0,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Monkify,Nobundo,US,Monk,Mistweaver,Conduit of the Celestials,Healer,Ruby Life Pools,12,1164.4,89103410,76526.0,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Xaniac,Anasterian,US,Warlock,Demonology,Diabolist,DPS,Ruby Life Pools,12,1164.4,271571489,233237.9,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Sammiiee,Nobundo,US,Shaman,Enhancement,Stormbringer,DPS,Ruby Life Pools,12,1164.4,238120357,204508.6,0,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
Aliendh,Anasterian,US,DemonHunter,Devourer,Annihilator,DPS,Ruby Life Pools,12,1164.4,235774677,202494.0,1,321,377.27,timed,9|10|147,R8VWgxJ4QMLK7tv1,1,1784491540918
旦夕来啦,Anasterian,US,Warrior,Protection,Unknown,Tank,Den of Nalorakk,18,1721.1,202020308,117381.9,0,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Gegweg,Anasterian,US,Evoker,Preservation,Unknown,Healer,Den of Nalorakk,18,1721.1,120087181,69775.5,4,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Alicedkk,Nobundo,US,DeathKnight,Frost,Unknown,DPS,Den of Nalorakk,18,1721.1,469450214,272769.5,1,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Mycsdk,Broxigar,US,DeathKnight,Frost,Unknown,DPS,Den of Nalorakk,18,1721.1,512162336,297587.0,1,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Ercmage,Anasterian,US,Mage,Arcane,Unknown,DPS,Den of Nalorakk,18,1721.1,388135266,225522.2,2,328,456.71,timed,9|10|147,b6rhTJLxRgD71GPv,6,1783174893655
Jmonk,Nobundo,EU,Monk,Brewmaster,Master of Harmony,Tank,Kings' Rest,15,1805.2,141682818,78483.8,0,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Ooba,Benedictus,EU,Monk,Mistweaver,Conduit of the Celestials,Healer,Kings' Rest,15,1805.2,85159261,47173.1,1,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Boonpo,Benedictus,EU,Hunter,Marksmanship,Dark Ranger,DPS,Kings' Rest,15,1805.2,315375665,174699.3,0,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Sus,Benedictus,EU,Druid,Balance,Elune's Chosen,DPS,Kings' Rest,15,1805.2,283694925,157150.0,2,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Flaxyua,Vargoth,EU,Warrior,Arms,Colossus,DPS,Kings' Rest,15,1805.2,366853220,203214.7,2,334,412.06,timed,9|10|147,kGfCdDqxHM1A2Fga,5,1783868316816
Willmonk,Anasterian,EU,Monk,Brewmaster,Master of Harmony,Tank,Altar of Fangs,12,1633.2,199479154,122143.3,2,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Dungeon,Anasterian,EU,Shaman,Restoration,Totemic,Healer,Altar of Fangs,12,1633.2,20141250,12332.7,4,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Accelerant,Lycanthoth,EU,Hunter,Survival,Pack Leader,DPS,Altar of Fangs,12,1633.2,366158369,224202.8,3,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Castan,Benedictus,EU,Warrior,Arms,Colossus,DPS,Altar of Fangs,12,1633.2,388301719,237761.4,3,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Offhealer,Zekhan,EU,Paladin,Retribution,Templar,DPS,Altar of Fangs,12,1633.2,280204432,171572.3,5,315,,,10|9|147,afJtVFbHW3MXAqrR,1,1782567973477
Dayanaae,Lycanthoth,US,DemonHunter,Vengeance,Annihilator,Tank,Den of Nalorakk,15,2940.6,281873177,95854.8,5,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Hollymuffins,Anasterian,US,Paladin,Holy,Herald of the Sun,Healer,Den of Nalorakk,15,2940.6,76894502,26149.0,5,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Arthenséus,Anasterian,US,Mage,Arcane,Spellslinger,DPS,Den of Nalorakk,15,2940.6,426206119,144937.1,7,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
Deathflows,Anasterian,US,DeathKnight,Frost,Deathbringer,DPS,Den of Nalorakk,15,2940.6,420949446,143149.5,6,334,,,10|9|147,tjQLVGXrR498vybK,8,1785094772091
