subset,composition,runs,strength,avg_key,avg_pct_under,best_pct_under,median_pct_under,key_slope,ref_key,best_time_s,best_dungeon,best_key,best_date,median_time_s,avg_deaths_per_run,timed_pct
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,800,6.21,9.6,16.6,61.3,17.6,-3.752,8.45,697.0,Voidscar Arena,5,2026-08-19,1528.0,6.52,85.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,435,5.28,9.3,18.3,55.3,18.7,-3.752,8.45,805.0,Voidscar Arena,2,2026-08-19,1508.0,5.78,90.1
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,344,2.86,8.8,18.9,62.0,20.3,-3.752,8.45,638.0,Ruby Life Pools,2,2026-08-19,1512.0,5.92,89.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,328,1.6,8.8,18.3,55.8,18.8,-3.752,8.45,743.0,Ruby Life Pools,2,2026-08-20,1532.0,5.72,89.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,321,5.35,9.4,17.2,59.6,18.1,-3.752,8.45,680.0,Ruby Life Pools,2,2026-08-19,1540.0,6.31,87.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Elemental Shaman,297,7.63,9.9,15.7,56.7,16.4,-3.752,8.45,884.0,Murder Row,2,2026-08-18,1571.0,5.9,88.2
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,251,4.83,8.9,20.6,60.1,22.0,-3.752,8.45,718.0,Voidscar Arena,2,2026-08-19,1460.0,6.08,88.8
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,246,2.63,8.9,18.6,57.9,19.8,-3.752,8.45,707.0,Ruby Life Pools,2,2026-08-18,1522.0,5.24,88.2
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,230,6.65,9.5,18.1,58.0,18.6,-3.752,8.45,705.0,Ruby Life Pools,2,2026-08-18,1513.0,6.47,89.6
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,229,6.63,9.8,15.9,52.3,16.3,-3.752,8.45,802.0,Ruby Life Pools,5,2026-08-19,1574.0,6.33,86.0
all,T:Blood DeathKnight | H:Holy Paladin | D:BeastMastery Hunter | D:Arcane Mage | D:Arms Warrior,229,3.16,8.8,19.4,56.2,20.4,-3.752,8.45,736.0,Ruby Life Pools,2,2026-08-19,1488.0,6.5,88.6
