run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
10800,14270,DeathKnight,Blood,San'layn,Tank,EU,Den of Nalorakk,12,1,1621.6,104412,0,296,2026-08-19,0,-1,1628.0,15.2
10800,14535,Shaman,Restoration,Totemic,Healer,EU,Den of Nalorakk,12,1,1621.6,22953,0,294,2026-08-19,0,-1,1628.0,15.2
10800,21715,DemonHunter,Devourer,Annihilator,DPS,EU,Den of Nalorakk,12,1,1621.6,170850,0,295,2026-08-19,0,-1,1628.0,15.2
10800,18012,Paladin,Retribution,Templar,DPS,EU,Den of Nalorakk,12,1,1621.6,167060,0,297,2026-08-19,0,-1,1628.0,15.2
10800,21716,Warrior,Arms,Slayer,DPS,EU,Den of Nalorakk,12,1,1621.6,154426,1,295,2026-08-19,0,-1,1628.0,15.2
10801,21717,DeathKnight,Blood,San'layn,Tank,EU,Voidscar Arena,11,1,1445.3,127130,0,293,2026-08-19,0,-1,1476.0,18.0
10801,21718,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Voidscar Arena,11,1,1445.3,45564,1,298,2026-08-19,0,-1,1476.0,18.0
10801,21719,Warlock,Affliction,Soul Harvester,DPS,EU,Voidscar Arena,11,1,1445.3,156160,2,292,2026-08-19,0,-1,1476.0,18.0
10801,21720,Shaman,Enhancement,Stormbringer,DPS,EU,Voidscar Arena,11,1,1445.3,155872,2,295,2026-08-19,0,-1,1476.0,18.0
10801,21721,DeathKnight,Unholy,San'layn,DPS,EU,Voidscar Arena,11,1,1445.3,165595,3,292,2026-08-19,0,-1,1476.0,18.0
10802,17565,Druid,Guardian,Elune's Chosen,Tank,EU,The Blinding Vale,12,0,1799.0,108335,0,293,2026-08-19,0,-1,1926.0,-7.0
10802,21722,Shaman,Restoration,Totemic,Healer,EU,The Blinding Vale,12,0,1799.0,20060,0,295,2026-08-19,0,-1,1926.0,-7.0
10802,21723,Paladin,Retribution,Templar,DPS,EU,The Blinding Vale,12,0,1799.0,197491,1,293,2026-08-19,0,-1,1926.0,-7.0
10802,21724,Hunter,BeastMastery,Pack Leader,DPS,EU,The Blinding Vale,12,0,1799.0,159096,4,293,2026-08-19,0,-1,1926.0,-7.0
