run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer,set_pieces,player_rating
24788,16415,Paladin,Protection,Lightsmith,Tank,EU,Voidscar Arena,10,1,975.1,101165,1,289.0,2026-08-20,0,-1,972.0,46.0,,
24788,14615,Evoker,Preservation,Flameshaper,Healer,EU,Voidscar Arena,10,1,975.1,43668,0,300.0,2026-08-20,0,-1,972.0,46.0,,
24788,14616,Shaman,Elemental,Farseer,DPS,EU,Voidscar Arena,10,1,975.1,238824,0,299.0,2026-08-20,0,-1,972.0,46.0,,
24788,14618,DemonHunter,Devourer,Annihilator,DPS,EU,Voidscar Arena,10,1,975.1,226175,0,302.0,2026-08-20,0,-1,972.0,46.0,,
24788,13137,Rogue,Subtlety,Deathstalker,DPS,EU,Voidscar Arena,10,1,975.1,237940,0,305.0,2026-08-20,0,-1,972.0,46.0,,2656
22155,43608,DeathKnight,Blood,Deathbringer,Tank,EU,Den of Nalorakk,11,1,1411.9,90720,0,300.0,2026-08-19,0,-1,1413.0,26.4,,
22155,43609,Paladin,Holy,Herald of the Sun,Healer,EU,Den of Nalorakk,11,1,1411.9,22089,0,295.0,2026-08-19,0,-1,1413.0,26.4,,
22155,49251,Rogue,Subtlety,Deathstalker,DPS,EU,Den of Nalorakk,11,1,1411.9,185940,2,297.0,2026-08-19,0,-1,1413.0,26.4,,
22155,43612,Mage,Arcane,Sunfury,DPS,EU,Den of Nalorakk,11,1,1411.9,175129,0,301.0,2026-08-19,0,-1,1413.0,26.4,,
22155,45431,Warrior,Arms,Slayer,DPS,EU,Den of Nalorakk,11,1,1411.9,191081,0,296.0,2026-08-19,0,-1,1413.0,26.4,,
32774,23221,DeathKnight,Blood,San'layn,Tank,EU,Murder Row,13,1,1860.7,108350,0,306.0,2026-08-21,0,-1,1882.0,7.7,,
32774,70802,Shaman,Restoration,Totemic,Healer,EU,Murder Row,13,1,1860.7,33093,0,297.0,2026-08-21,0,-1,1882.0,7.7,,
32774,66495,Priest,Shadow,Archon,DPS,EU,Murder Row,13,1,1860.7,201850,1,303.0,2026-08-21,0,-1,1882.0,7.7,,
32774,19377,Druid,Balance,Elune's Chosen,DPS,EU,Murder Row,13,1,1860.7,196132,1,305.0,2026-08-21,0,-1,1882.0,7.7,,3316
32774,51344,DemonHunter,Devourer,Annihilator,DPS,EU,Murder Row,13,1,1860.7,186268,0,300.0,2026-08-21,0,-1,1882.0,7.7,,
65788,14009,DeathKnight,Blood,Deathbringer,Tank,EU,Voidscar Arena,12,1,1228.0,113853,0,309.0,2026-08-21,0,-1,1219.0,32.3,,2990
65788,58397,Druid,Restoration,Wildstalker,Healer,EU,Voidscar Arena,12,1,1228.0,9274,0,296.0,2026-08-21,0,-1,1219.0,32.3,,
65788,12832,DemonHunter,Devourer,Void-Scarred,DPS,EU,Voidscar Arena,12,1,1228.0,210527,0,305.0,2026-08-21,0,-1,1219.0,32.3,,2951
65788,14342,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Voidscar Arena,12,1,1228.0,233149,0,305.0,2026-08-21,0,-1,1219.0,32.3,,
65788,17957,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,12,1,1228.0,243071,0,310.0,2026-08-21,0,-1,1219.0,32.3,,
72673,68728,DeathKnight,Blood,San'layn,Tank,EU,The Blinding Vale,15,1,1709.7,140060,0,311.0,2026-08-22,0,-1,1791.0,0.5,,
72673,68729,Paladin,Holy,Herald of the Sun,Healer,EU,The Blinding Vale,15,1,1709.7,15420,3,309.0,2026-08-22,0,-1,1791.0,0.5,,
