run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning
2401,115,DemonHunter,Devourer,Void-Scarred,DPS,US,Altar of Fangs,18,1,1602.5,358162,1,334,2026-07-16,3,0
2402,4541,DeathKnight,Blood,Unknown,Tank,EU,Voidscar Arena,10,-1,1550.1,91107,1,315,2026-07-06,5,0
2402,4542,Monk,Mistweaver,Unknown,Healer,EU,Voidscar Arena,10,-1,1550.1,25923,2,315,2026-07-06,5,0
2402,4543,DemonHunter,Havoc,Unknown,DPS,EU,Voidscar Arena,10,-1,1550.1,145294,1,315,2026-07-06,5,0
2402,4544,Mage,Arcane,Unknown,DPS,EU,Voidscar Arena,10,-1,1550.1,167024,3,315,2026-07-06,5,0
2402,780,Warlock,Affliction,Unknown,DPS,EU,Voidscar Arena,10,-1,1550.1,188882,4,315,2026-07-06,5,0
2403,30,Paladin,Protection,Lightsmith,Tank,EU,The Blinding Vale,15,0,1791.2,165692,3,334,2026-07-15,3,0
2403,31,Priest,Discipline,Voidweaver,Healer,EU,The Blinding Vale,15,0,1791.2,81377,5,334,2026-07-15,3,0
2403,1642,Druid,Balance,Elune's Chosen,DPS,EU,The Blinding Vale,15,0,1791.2,236430,6,334,2026-07-15,3,0
2403,1015,Shaman,Elemental,Farseer,DPS,EU,The Blinding Vale,15,0,1791.2,254274,4,334,2026-07-15,3,0
2403,33,Mage,Arcane,Spellslinger,DPS,EU,The Blinding Vale,15,0,1791.2,192511,9,334,2026-07-15,3,0
2404,1038,Paladin,Protection,Lightsmith,Tank,EU,The Blinding Vale,16,1,1585.3,162548,2,334,2026-07-22,2,0
2404,152,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,The Blinding Vale,16,1,1585.3,70436,3,334,2026-07-22,2,0
2404,154,DemonHunter,Devourer,Annihilator,DPS,EU,The Blinding Vale,16,1,1585.3,231291,5,334,2026-07-22,2,0
2404,1039,Priest,Shadow,Archon,DPS,EU,The Blinding Vale,16,1,1585.3,256586,4,334,2026-07-22,2,0
2404,1040,Hunter,Marksmanship,Sentinel,DPS,EU,The Blinding Vale,16,1,1585.3,335755,5,334,2026-07-22,2,0
2405,691,DeathKnight,Blood,Deathbringer,Tank,US,Ruby Life Pools,15,1,1557.3,107303,0,334,2026-07-13,4,0
2405,674,Evoker,Preservation,Flameshaper,Healer,US,Ruby Life Pools,15,1,1557.3,56146,0,334,2026-07-13,4,0
2405,125,Hunter,BeastMastery,Pack Leader,DPS,US,Ruby Life Pools,15,1,1557.3,191135,2,334,2026-07-13,4,0
2405,3506,Warrior,Fury,Mountain Thane,DPS,US,Ruby Life Pools,15,1,1557.3,231799,0,334,2026-07-13,4,0
2405,1186,Mage,Fire,Sunfury,DPS,US,Ruby Life Pools,15,1,1557.3,234745,0,334,2026-07-13,4,0
2406,1904,DeathKnight,Blood,Deathbringer,Tank,CN,Ruby Life Pools,18,1,1363.1,194947,0,334,2026-07-13,4,0
2406,3424,Monk,Mistweaver,Conduit of the Celestials,Healer,CN,Ruby Life Pools,18,1,1363.1,93506,0,334,2026-07-13,4,0
2406,2632,DemonHunter,Devourer,Annihilator,DPS,CN,Ruby Life Pools,18,1,1363.1,332249,1,334,2026-07-13,4,0
2406,460,Warrior,Arms,Colossus,DPS,CN,Ruby Life Pools,18,1,1363.1,375320,0,334,2026-07-13,4,0
2406,4545,Mage,Arcane,Spellslinger,DPS,CN,Ruby Life Pools,18,1,1363.1,339657,1,334,2026-07-13,4,0
2407,2828,Paladin,Protection,Templar,Tank,US,Kings' Rest,15,0,1943.9,107248,1,334,2026-07-21,2,0
2407,2910,Shaman,Restoration,Totemic,Healer,US,Kings' Rest,15,0,1943.9,26799,2,334,2026-07-21,2,0
