tuning_mult,projected_dps,run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
1.0,138991,3602,806,Paladin,Protection,Lightsmith,Tank,CN,Kings' Rest,20,1,1842.2,138991,0,334,2026-08-02,2,1,1909.0,3.6
1.0,77294,3602,340,Evoker,Preservation,Flameshaper,Healer,CN,Kings' Rest,20,1,1842.2,77294,1,334,2026-08-02,2,1,1909.0,3.6
0.9627,284265,3602,7146,Mage,Arcane,Sunfury,DPS,CN,Kings' Rest,20,1,1842.2,295279,0,334,2026-08-02,2,1,1909.0,3.6
1.0,236122,3602,7147,Druid,Balance,Elune's Chosen,DPS,CN,Kings' Rest,20,1,1842.2,236122,2,334,2026-08-02,2,1,1909.0,3.6
0.967,263381,3602,1886,Warrior,Arms,Slayer,DPS,CN,Kings' Rest,20,1,1842.2,272369,2,334,2026-08-02,2,1,1909.0,3.6
0.9551,248867,3603,1351,DeathKnight,Blood,San'layn,Tank,EU,Altar of Fangs,18,1,1603.0,260567,0,334,2026-08-02,2,1,1625.0,9.7
1.0,55341,3603,5691,Shaman,Restoration,Totemic,Healer,EU,Altar of Fangs,18,1,1603.0,55341,0,334,2026-08-02,2,1,1625.0,9.7
0.9762,323982,3603,7148,Warrior,Arms,Slayer,DPS,EU,Altar of Fangs,18,1,1603.0,331881,1,334,2026-08-02,2,1,1625.0,9.7
1.0398,461525,3603,5849,Rogue,Assassination,Deathstalker,DPS,EU,Altar of Fangs,18,1,1603.0,443859,0,334,2026-08-02,2,1,1625.0,9.7
1.0,372725,3603,2601,Rogue,Outlaw,Trickster,DPS,EU,Altar of Fangs,18,1,1603.0,372725,1,313,2026-08-02,2,1,1625.0,9.7
1.0,142564,3604,1807,Warrior,Protection,Mountain Thane,Tank,EU,Altar of Fangs,15,0,1885.0,142564,2,334,2026-08-02,2,1,2027.0,-12.6
1.0,77552,3604,7149,Evoker,Preservation,Flameshaper,Healer,EU,Altar of Fangs,15,0,1885.0,77552,2,334,2026-08-02,2,1,2027.0,-12.6
1.0,226947,3604,7142,Monk,Windwalker,Conduit of the Celestials,DPS,EU,Altar of Fangs,15,0,1885.0,226947,3,334,2026-08-02,2,1,2027.0,-12.6
0.9676,274604,3604,7150,Mage,Arcane,Sunfury,DPS,EU,Altar of Fangs,15,0,1885.0,283799,2,334,2026-08-02,2,1,2027.0,-12.6
1.0,229096,3604,7151,Priest,Shadow,Voidweaver,DPS,EU,Altar of Fangs,15,0,1885.0,229096,2,334,2026-08-02,2,1,2027.0,-12.6
1.0,123748,3605,6993,Warrior,Protection,Mountain Thane,Tank,EU,Voidscar Arena,12,0,1920.6,123748,6,321,2026-08-02,2,1,2302.0,-27.9
1.1992,39906,3605,7143,Druid,Restoration,Keeper of the Grove,Healer,EU,Voidscar Arena,12,0,1920.6,33277,9,321,2026-08-02,2,1,2302.0,-27.9
1.0,177765,3605,6539,Druid,Balance,Elune's Chosen,DPS,EU,Voidscar Arena,12,0,1920.6,177765,10,321,2026-08-02,2,1,2302.0,-27.9
1.0,127109,3605,6541,DeathKnight,Unholy,Rider of the Apocalypse,DPS,EU,Voidscar Arena,12,0,1920.6,127109,9,321,2026-08-02,2,1,2302.0,-27.9
