subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,2026-08-18,1793,1793,786,99589,98853,127059,0.51,69.9,292.9,0,,,,2902.0
all,DeathKnight,Blood,Tank,2026-08-19,7782,7782,3594,104761,103972,138208,0.22,84.4,295.6,5,100.0,0.0,0.0,2928.0
all,DeathKnight,Blood,Tank,2026-08-20,4137,4137,2192,114729,115064,151173,0.08,93.7,300.3,5,100.0,0.0,0.0,3030.0
all,DeathKnight,Blood,Tank,2026-08-21,7559,7559,3489,121314,121057,156939,0.1,92.0,304.3,12,41.7,58.3,0.0,3012.0
all,DeathKnight,Blood,Tank,2026-08-22,11465,11461,5354,120963,121599,159009,0.09,92.6,304.7,27,48.1,44.4,7.4,3047.0
all,DeathKnight,Blood,Tank,2026-08-23,9208,9208,4742,124819,125732,164901,0.08,93.2,306.2,1456,40.5,36.4,23.1,3063.0
all,DeathKnight,Blood,Tank,2026-08-24,369,369,303,119453,121577,155283,0.04,96.2,304.9,313,41.9,36.4,21.7,3023.0
all,DeathKnight,Frost,DPS,2026-08-18,239,239,98,157261,157946,197705,1.1,42.3,293.4,0,,,,2910.0
all,DeathKnight,Frost,DPS,2026-08-19,682,680,403,161298,158428,216103,0.56,64.2,294.7,0,,,,2889.0
all,DeathKnight,Frost,DPS,2026-08-20,234,233,157,170465,178201,226522,0.35,74.8,297.9,1,100.0,0.0,0.0,3010.0
all,DeathKnight,Frost,DPS,2026-08-21,367,366,230,183787,188272,230316,0.31,74.7,301.4,0,,,,3038.0
all,DeathKnight,Frost,DPS,2026-08-22,624,618,408,172656,181100,233768,0.25,79.2,299.9,0,,,,3020.0
all,DeathKnight,Frost,DPS,2026-08-23,492,492,311,177598,184093,242897,0.24,81.7,302.4,98,31.6,34.7,33.7,2967.0
all,DeathKnight,Frost,DPS,2026-08-24,24,24,22,168018,179083,219119,0.17,83.3,302.8,21,38.1,42.9,19.0,
all,DeathKnight,Unholy,DPS,2026-08-18,689,682,357,161509,162195,199057,0.93,51.7,292.8,0,,,,2823.0
all,DeathKnight,Unholy,DPS,2026-08-19,2550,2504,1279,170518,171743,217254,0.54,63.6,294.5,0,,,,2924.0
all,DeathKnight,Unholy,DPS,2026-08-20,1110,1096,696,188822,193146,244219,0.29,77.6,298.3,0,,,,3001.0
all,DeathKnight,Unholy,DPS,2026-08-21,2112,2089,1099,202267,205346,256413,0.31,74.7,301.8,0,,,,3036.0
all,DeathKnight,Unholy,DPS,2026-08-22,2921,2878,1545,198405,205738,259021,0.32,74.9,302.3,9,44.4,44.4,11.1,3056.0
all,DeathKnight,Unholy,DPS,2026-08-23,2141,2111,1308,201491,206907,265077,0.28,77.5,303.2,422,34.8,25.4,39.8,3093.0
all,DeathKnight,Unholy,DPS,2026-08-24,106,105,88,203792,214717,267729,0.23,80.2,303.2,98,30.6,26.5,42.9,3076.0
all,DemonHunter,Devourer,DPS,2026-08-18,892,852,380,168072,168854,208502,1.51,32.7,293.8,0,,,,2905.0
all,DemonHunter,Devourer,DPS,2026-08-19,3447,3403,1563,178484,179724,225874,0.88,49.1,296.1,1,0.0,100.0,0.0,2936.0
all,DemonHunter,Devourer,DPS,2026-08-20,1573,1553,876,191117,194938,241921,0.61,58.3,300.1,1,100.0,0.0,0.0,3006.0
all,DemonHunter,Devourer,DPS,2026-08-21,2783,2749,1357,200004,202918,247828,0.6,58.2,302.9,4,75.0,25.0,0.0,3030.0
all,DemonHunter,Devourer,DPS,2026-08-22,3832,3781,1930,195874,201984,251859,0.61,58.2,303.0,14,92.9,7.1,0.0,3050.0
all,DemonHunter,Devourer,DPS,2026-08-23,2736,2714,1530,198135,205664,255133,0.53,61.9,303.8,528,35.8,27.1,37.1,3030.0
all,DemonHunter,Devourer,DPS,2026-08-24,120,120,99,199036,202524,252853,0.42,65.8,305.4,105,26.7,29.5,43.8,3067.0
all,DemonHunter,Havoc,DPS,2026-08-18,209,207,114,159190,159245,200002,1.18,43.5,292.3,0,,,,2809.0
all,DemonHunter,Havoc,DPS,2026-08-19,1073,1067,603,164987,166910,215864,0.68,58.1,294.2,1,100.0,0.0,0.0,2880.0
all,DemonHunter,Havoc,DPS,2026-08-20,474,472,322,175104,176850,231100,0.41,69.2,297.5,1,100.0,0.0,0.0,2995.0
all,DemonHunter,Havoc,DPS,2026-08-21,782,779,453,187967,191814,238142,0.46,66.2,301.3,4,50.0,50.0,0.0,2984.0
all,DemonHunter,Havoc,DPS,2026-08-22,1276,1267,808,175540,181932,236902,0.4,71.0,300.0,5,60.0,40.0,0.0,2974.0
all,DemonHunter,Havoc,DPS,2026-08-23,941,932,651,172276,177564,236093,0.38,70.6,300.4,188,54.8,26.1,19.1,3012.0
all,DemonHunter,Havoc,DPS,2026-08-24,38,38,32,184630,193733,251110,0.37,71.1,301.8,35,20.0,40.0,40.0,2922.0
all,DemonHunter,Vengeance,Tank,2026-08-18,423,423,171,97409,95898,122566,0.54,72.8,292.9,2,100.0,0.0,0.0,2851.0
all,DemonHunter,Vengeance,Tank,2026-08-19,1334,1334,683,99789,99682,131659,0.2,86.7,295.2,4,100.0,0.0,0.0,2894.0
all,DemonHunter,Vengeance,Tank,2026-08-20,504,504,347,108478,108153,146023,0.09,93.1,299.2,0,,,,2973.0
all,DemonHunter,Vengeance,Tank,2026-08-21,930,930,521,111360,112214,143613,0.1,92.2,302.4,5,100.0,0.0,0.0,2998.0
all,DemonHunter,Vengeance,Tank,2026-08-22,1591,1591,951,107572,108352,145877,0.09,92.5,301.5,4,50.0,0.0,50.0,3028.0
all,DemonHunter,Vengeance,Tank,2026-08-23,1315,1315,855,103385,104863,144058,0.07,94.3,300.7,316,47.8,25.6,26.6,3076.0
all,DemonHunter,Vengeance,Tank,2026-08-24,62,62,53,108823,108756,153763,0.03,96.8,301.2,57,45.6,29.8,24.6,2986.0
all,Druid,Balance,DPS,2026-08-18,786,772,357,156016,155808,193971,1.33,38.8,293.2,0,,,,2858.0
all,Druid,Balance,DPS,2026-08-19,3113,3096,1588,162574,164078,209066,0.8,54.8,294.9,4,100.0,0.0,0.0,2875.0
all,Druid,Balance,DPS,2026-08-20,1339,1327,804,178869,182848,230650,0.48,67.4,299.3,2,50.0,50.0,0.0,2960.0
all,Druid,Balance,DPS,2026-08-21,2266,2251,1199,190103,192270,240120,0.48,66.1,302.5,2,0.0,100.0,0.0,2959.0
all,Druid,Balance,DPS,2026-08-22,3359,3338,1868,183780,189825,242908,0.48,66.7,301.9,16,56.2,12.5,31.2,2944.0
all,Druid,Balance,DPS,2026-08-23,2449,2432,1530,187455,194730,244590,0.43,68.8,303.3,483,33.1,26.3,40.6,2954.0
all,Druid,Balance,DPS,2026-08-24,131,130,105,188220,196934,248136,0.51,67.9,303.4,121,38.8,28.9,32.2,3008.0
all,Druid,Feral,DPS,2026-08-18,153,153,73,167149,165430,216452,1.19,43.1,293.5,0,,,,3089.0
all,Druid,Feral,DPS,2026-08-19,663,658,351,174951,175598,230184,0.74,53.4,295.1,2,100.0,0.0,0.0,3072.0
all,Druid,Feral,DPS,2026-08-20,379,378,214,191743,196378,243707,0.53,64.6,298.8,1,100.0,0.0,0.0,3116.0
all,Druid,Feral,DPS,2026-08-21,573,572,288,198405,200387,254996,0.54,63.7,301.0,2,100.0,0.0,0.0,3131.0
all,Druid,Feral,DPS,2026-08-22,947,944,505,189066,195847,255849,0.59,61.4,300.9,5,60.0,40.0,0.0,3104.0
all,Druid,Feral,DPS,2026-08-23,763,762,418,196385,204262,271613,0.53,62.5,301.8,176,52.8,28.4,18.8,3254.0
all,Druid,Feral,DPS,2026-08-24,44,44,35,199405,208235,268003,0.52,56.8,302.3,41,48.8,29.3,22.0,3155.0
all,Druid,Guardian,Tank,2026-08-18,537,537,233,86719,86404,107947,0.53,68.3,293.3,0,,,,2837.0
all,Druid,Guardian,Tank,2026-08-19,2009,2009,1037,88462,87016,117759,0.25,81.5,295.1,0,,,,2894.0
all,Druid,Guardian,Tank,2026-08-20,886,886,550,95497,95225,129636,0.12,90.0,298.9,1,100.0,0.0,0.0,3066.0
all,Druid,Guardian,Tank,2026-08-21,1597,1597,879,100572,101152,130555,0.11,90.3,301.1,2,100.0,0.0,0.0,2968.0
all,Druid,Guardian,Tank,2026-08-22,2613,2613,1440,96783,97318,134406,0.09,91.6,301.1,16,68.8,6.2,25.0,3088.0
all,Druid,Guardian,Tank,2026-08-23,2038,2038,1213,98800,99188,135827,0.1,90.9,302.2,404,52.2,25.2,22.5,3025.0
all,Druid,Guardian,Tank,2026-08-24,112,112,94,96045,93783,142382,0.09,92.9,302.5,92,41.3,30.4,28.3,3172.0
all,Druid,Restoration,Healer,2026-08-18,312,312,145,10509,8265,20542,1.44,31.1,292.7,0,,,,2811.0
all,Druid,Restoration,Healer,2026-08-19,1058,1058,617,13572,10563,25773,0.71,57.4,294.0,0,,,,2814.0
all,Druid,Restoration,Healer,2026-08-20,366,366,276,13825,11074,23540,0.44,66.7,295.5,0,,,,2897.0
all,Druid,Restoration,Healer,2026-08-21,601,601,403,16520,11490,37200,0.42,68.7,299.2,1,100.0,0.0,0.0,2965.0
all,Druid,Restoration,Healer,2026-08-22,1136,1136,744,16023,12006,31030,0.41,69.0,297.7,1,100.0,0.0,0.0,2970.0
all,Druid,Restoration,Healer,2026-08-23,796,796,583,13810,10220,25452,0.36,72.0,298.1,167,61.1,22.8,16.2,2926.0
all,Druid,Restoration,Healer,2026-08-24,37,37,35,11875,9674,22180,0.19,83.8,294.8,32,59.4,28.1,12.5,2850.0
all,Evoker,Augmentation,DPS,2026-08-18,155,155,77,137930,135983,170549,1.04,54.2,292.7,0,,,,2809.0
all,Evoker,Augmentation,DPS,2026-08-19,373,373,231,141417,141724,180565,0.5,70.2,294.4,0,,,,2778.0
all,Evoker,Augmentation,DPS,2026-08-20,127,127,84,152675,160452,202942,0.32,74.0,297.9,0,,,,3105.0
all,Evoker,Augmentation,DPS,2026-08-21,139,139,86,167951,170029,214326,0.23,82.7,300.8,0,,,,3104.0
