subset,class,spec,role,dungeon,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,Altar of Fangs,5887,5887,3879,138993,140533,175809,0.11,92.1,302.9,260,37.7,38.1,24.2,2968.0
all,DeathKnight,Blood,Tank,Den of Nalorakk,4614,4614,3255,106922,107563,136373,0.12,91.6,302.7,173,30.6,45.1,24.3,2987.0
all,DeathKnight,Blood,Tank,Kings' Rest,5218,5217,3673,89110,90388,111003,0.16,87.5,302.5,194,44.8,40.7,14.4,2974.0
all,DeathKnight,Blood,Tank,Murder Row,6032,6032,3983,117509,118794,150948,0.17,87.3,302.8,295,35.9,37.3,26.8,2969.0
all,DeathKnight,Blood,Tank,Ruby Life Pools,5266,5265,3827,130256,131366,167943,0.13,89.3,301.4,229,45.4,34.1,20.5,2992.0
all,DeathKnight,Blood,Tank,Temple of Sethraliss,5333,5331,3673,119897,121443,150970,0.07,94.0,302.6,225,40.9,32.9,26.2,2960.0
all,DeathKnight,Blood,Tank,The Blinding Vale,5061,5061,3563,130097,130991,164648,0.09,93.2,302.1,199,41.2,37.7,21.1,2962.0
all,DeathKnight,Blood,Tank,Voidscar Arena,4902,4902,3531,112178,113120,144631,0.19,87.4,301.8,243,51.9,28.8,19.3,2952.0
all,DeathKnight,Frost,DPS,Altar of Fangs,349,346,286,202903,209258,259155,0.42,69.6,299.3,20,35.0,30.0,35.0,2904.0
all,DeathKnight,Frost,DPS,Den of Nalorakk,300,299,252,156026,159784,203079,0.4,72.0,298.5,11,27.3,9.1,63.6,2967.0
all,DeathKnight,Frost,DPS,Kings' Rest,290,290,247,125709,131764,162562,0.42,72.8,298.1,13,30.8,30.8,38.5,2892.0
all,DeathKnight,Frost,DPS,Murder Row,351,348,278,170323,177508,214852,0.44,70.7,298.7,15,46.7,26.7,26.7,2934.0
all,DeathKnight,Frost,DPS,Ruby Life Pools,325,324,272,182523,189423,239009,0.33,75.7,297.6,16,43.8,25.0,31.2,2983.0
all,DeathKnight,Frost,DPS,Temple of Sethraliss,351,351,282,178048,185462,226190,0.41,69.5,299.2,14,14.3,57.1,28.6,2894.0
all,DeathKnight,Frost,DPS,The Blinding Vale,319,319,271,185631,191490,233955,0.49,68.7,298.7,14,35.7,42.9,21.4,2986.0
all,DeathKnight,Frost,DPS,Voidscar Arena,377,375,318,164986,171767,220723,0.45,73.5,297.9,17,29.4,58.8,11.8,2937.0
all,DeathKnight,Unholy,DPS,Altar of Fangs,1593,1570,1151,229938,235724,289149,0.3,76.1,300.5,81,32.1,27.2,40.7,2960.0
all,DeathKnight,Unholy,DPS,Den of Nalorakk,1350,1335,1063,171111,172900,215618,0.39,71.8,299.5,51,37.3,19.6,43.1,2946.0
all,DeathKnight,Unholy,DPS,Kings' Rest,1316,1297,1040,138740,143320,172738,0.41,71.3,299.5,58,34.5,22.4,43.1,2967.0
all,DeathKnight,Unholy,DPS,Murder Row,1551,1533,1105,191681,196150,238983,0.46,68.0,300.3,75,36.0,21.3,42.7,2954.0
all,DeathKnight,Unholy,DPS,Ruby Life Pools,1378,1359,1097,199506,203884,256488,0.31,76.7,298.9,72,34.7,33.3,31.9,2956.0
all,DeathKnight,Unholy,DPS,Temple of Sethraliss,1516,1494,1118,200880,205264,251173,0.41,70.5,300.2,64,26.6,39.1,34.4,2964.0
all,DeathKnight,Unholy,DPS,The Blinding Vale,1322,1302,1063,207028,209439,258398,0.45,69.6,299.1,48,27.1,20.8,52.1,2930.0
all,DeathKnight,Unholy,DPS,Voidscar Arena,1603,1575,1246,189562,193160,238674,0.43,70.4,299.6,80,42.5,21.2,36.2,2965.0
all,DemonHunter,Devourer,DPS,Altar of Fangs,1903,1877,1304,220677,225710,275568,0.64,59.0,301.3,71,39.4,25.4,35.2,2960.0
all,DemonHunter,Devourer,DPS,Den of Nalorakk,1627,1612,1216,173057,177034,214401,0.77,52.1,300.7,64,34.4,20.3,45.3,2984.0
all,DemonHunter,Devourer,DPS,Kings' Rest,1729,1709,1283,146563,151847,178693,0.77,51.4,300.4,72,40.3,25.0,34.7,2981.0
all,DemonHunter,Devourer,DPS,Murder Row,2823,2772,1779,193589,198893,238235,0.64,58.3,301.6,129,35.7,27.9,36.4,2950.0
all,DemonHunter,Devourer,DPS,Ruby Life Pools,1748,1725,1349,203054,207176,253191,0.5,63.7,299.4,86,37.2,31.4,31.4,2986.0
all,DemonHunter,Devourer,DPS,Temple of Sethraliss,1843,1819,1326,199857,206806,244262,0.8,50.2,300.9,68,26.5,27.9,45.6,2988.0
all,DemonHunter,Devourer,DPS,The Blinding Vale,1607,1585,1188,209913,215038,258123,0.86,48.9,300.4,63,36.5,30.2,33.3,2980.0
all,DemonHunter,Devourer,DPS,Voidscar Arena,2103,2073,1455,192050,196404,239878,0.7,57.0,300.8,100,36.0,27.0,37.0,2960.0
all,DemonHunter,Havoc,DPS,Altar of Fangs,544,542,452,198842,204794,255512,0.5,67.3,298.5,31,38.7,29.0,32.3,2899.0
all,DemonHunter,Havoc,DPS,Den of Nalorakk,483,482,414,158844,166072,203906,0.55,62.5,298.2,16,56.2,12.5,31.2,2871.0
all,DemonHunter,Havoc,DPS,Kings' Rest,573,570,486,128603,133245,164961,0.54,65.8,298.1,24,50.0,37.5,12.5,2924.0
all,DemonHunter,Havoc,DPS,Murder Row,760,755,603,181990,187644,234516,0.55,63.6,299.3,40,55.0,25.0,20.0,2883.0
all,DemonHunter,Havoc,DPS,Ruby Life Pools,575,568,483,180423,184775,235265,0.32,74.8,297.2,26,30.8,46.2,23.1,2909.0
all,DemonHunter,Havoc,DPS,Temple of Sethraliss,709,702,556,187877,195064,236705,0.5,63.0,299.3,33,54.5,21.2,24.2,2934.0
all,DemonHunter,Havoc,DPS,The Blinding Vale,507,505,410,188771,195236,237358,0.62,59.0,298.4,22,59.1,18.2,22.7,2922.0
all,DemonHunter,Havoc,DPS,Voidscar Arena,642,638,534,169527,176776,217631,0.46,70.6,297.9,42,54.8,33.3,11.9,2928.0
all,DemonHunter,Vengeance,Tank,Altar of Fangs,750,750,551,122518,123931,159176,0.09,93.1,300.0,45,53.3,20.0,26.7,2905.0
all,DemonHunter,Vengeance,Tank,Den of Nalorakk,667,667,515,95360,94848,126564,0.14,91.3,298.9,39,38.5,35.9,25.6,2937.0
all,DemonHunter,Vengeance,Tank,Kings' Rest,688,688,550,81104,81204,105323,0.12,92.3,298.7,51,47.1,27.5,25.5,2937.0
all,DemonHunter,Vengeance,Tank,Murder Row,1291,1291,854,108613,109211,139324,0.15,89.4,301.2,96,49.0,20.8,30.2,2888.0
all,DemonHunter,Vengeance,Tank,Ruby Life Pools,660,660,558,108354,110341,147927,0.21,86.2,296.9,42,61.9,26.2,11.9,2940.0
all,DemonHunter,Vengeance,Tank,Temple of Sethraliss,650,650,507,107979,108608,141860,0.1,91.7,299.4,37,62.2,21.6,16.2,2945.0
all,DemonHunter,Vengeance,Tank,The Blinding Vale,570,570,470,112416,114295,147011,0.07,94.9,298.4,26,42.3,30.8,26.9,2930.0
all,DemonHunter,Vengeance,Tank,Voidscar Arena,883,883,668,104985,106563,141560,0.23,86.1,299.2,52,38.5,26.9,34.6,2912.0
all,Druid,Balance,DPS,Altar of Fangs,1869,1860,1345,210829,218139,265978,0.52,64.6,300.6,98,32.7,23.5,43.9,2895.0
all,Druid,Balance,DPS,Den of Nalorakk,1676,1663,1261,165561,168596,211417,0.55,64.9,300.1,73,37.0,27.4,35.6,2911.0
all,Druid,Balance,DPS,Kings' Rest,1544,1531,1220,137107,141978,169346,0.54,63.3,299.8,77,32.5,28.6,39.0,2925.0
all,Druid,Balance,DPS,Murder Row,2100,2083,1484,186844,193785,235532,0.44,70.4,300.6,99,36.4,28.3,35.4,2892.0
all,Druid,Balance,DPS,Ruby Life Pools,1429,1420,1185,176877,181994,225894,0.58,63.1,298.1,63,46.0,22.2,31.7,2911.0
all,Druid,Balance,DPS,Temple of Sethraliss,1631,1617,1232,181575,185270,226941,0.74,55.4,300.2,67,28.4,29.9,41.8,2896.0
