subset,class,spec,role,key_level,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,2,1729,1729,1564,72464,70738,98581,0.04,96.1,292.4,142,66.9,27.5,5.6,3006.0
all,DeathKnight,Blood,Tank,3,319,319,311,70341,69173,93681,0.07,93.1,291.6,5,80.0,20.0,0.0,3093.0
all,DeathKnight,Blood,Tank,4,732,732,705,75457,74198,99154,0.03,97.4,292.3,40,85.0,15.0,0.0,3090.0
all,DeathKnight,Blood,Tank,5,1499,1499,1384,84306,82599,112390,0.05,95.7,294.0,92,63.0,34.8,2.2,2905.0
all,DeathKnight,Blood,Tank,6,990,988,883,86817,84805,114212,0.03,97.7,294.2,49,75.5,22.4,2.0,2904.0
all,DeathKnight,Blood,Tank,7,721,721,683,102013,98716,135483,0.05,95.6,296.5,34,47.1,47.1,5.9,2951.0
all,DeathKnight,Blood,Tank,8,715,715,680,113007,112306,143742,0.04,95.7,297.6,35,45.7,48.6,5.7,2949.0
all,DeathKnight,Blood,Tank,9,998,998,910,114300,112110,147925,0.05,95.3,298.9,32,43.8,40.6,15.6,2899.0
all,DeathKnight,Blood,Tank,10,7095,7095,2865,123213,122287,157337,0.07,94.0,301.1,281,53.7,14.2,32.0,2851.0
all,DeathKnight,Blood,Tank,11,6695,6695,3778,117932,116240,154045,0.23,85.2,299.8,156,39.7,31.4,28.8,2944.0
all,DeathKnight,Blood,Tank,12,6694,6693,3597,120189,119098,153322,0.15,89.1,303.8,142,42.3,33.8,23.9,3044.0
all,DeathKnight,Blood,Tank,13,6197,6196,3015,124227,123811,155017,0.1,91.7,306.4,243,33.3,47.3,19.3,3107.0
all,DeathKnight,Blood,Tank,14,4914,4914,1988,131018,130327,161588,0.18,85.7,308.0,324,25.6,52.5,21.9,3142.0
all,DeathKnight,Blood,Tank,15,2040,2040,763,143219,143164,176405,0.2,85.5,309.4,167,19.2,49.1,31.7,3224.0
all,DeathKnight,Blood,Tank,16,704,704,230,159596,160696,194924,0.19,84.7,310.7,72,6.9,33.3,59.7,3255.0
all,DeathKnight,Blood,Tank,17,220,220,61,177118,176929,213238,0.2,85.5,311.6,4,0.0,0.0,100.0,3281.0
all,DeathKnight,Blood,Tank,18,51,51,17,193938,195124,232138,0.16,90.2,312.4,0,,,,
all,DeathKnight,Frost,DPS,2,218,218,201,101900,101954,143800,0.14,88.5,290.7,16,56.2,37.5,6.2,3299.0
all,DeathKnight,Frost,DPS,3,39,39,39,94005,94442,124443,0.15,87.2,290.0,2,100.0,0.0,0.0,
all,DeathKnight,Frost,DPS,4,81,81,80,115193,113848,151587,0.09,92.6,294.0,4,25.0,75.0,0.0,2235.0
all,DeathKnight,Frost,DPS,5,168,168,160,126094,122724,163892,0.09,92.9,293.4,12,66.7,16.7,16.7,2868.0
all,DeathKnight,Frost,DPS,6,107,107,101,137699,133141,179492,0.12,88.8,295.6,7,57.1,28.6,14.3,
all,DeathKnight,Frost,DPS,7,64,64,62,157967,156534,197456,0.16,85.9,296.6,5,40.0,40.0,20.0,2522.0
all,DeathKnight,Frost,DPS,8,62,61,59,186596,186670,225508,0.08,91.9,297.6,1,0.0,0.0,100.0,2976.0
all,DeathKnight,Frost,DPS,9,67,66,64,179009,177745,224212,0.18,85.1,296.4,2,50.0,50.0,0.0,2953.0
all,DeathKnight,Frost,DPS,10,559,552,284,193146,192183,242890,0.29,75.8,299.1,18,38.9,16.7,44.4,2864.0
all,DeathKnight,Frost,DPS,11,447,446,299,177484,180387,223449,0.84,54.6,297.1,4,25.0,50.0,25.0,2880.0
all,DeathKnight,Frost,DPS,12,328,328,210,180996,180863,226820,0.65,58.8,300.9,9,22.2,33.3,44.4,3054.0
all,DeathKnight,Frost,DPS,13,256,256,150,194569,192910,234847,0.45,65.2,303.5,4,25.0,25.0,50.0,3088.0
all,DeathKnight,Frost,DPS,14,196,196,94,206370,207676,244188,0.56,57.1,306.1,24,8.3,58.3,33.3,3070.0
all,DeathKnight,Frost,DPS,15,54,54,24,214732,218292,250788,0.65,55.6,307.2,9,0.0,44.4,55.6,3010.0
all,DeathKnight,Frost,DPS,16,12,12,5,229323,229770,271326,0.42,75.0,310.0,2,0.0,0.0,100.0,3333.0
all,DeathKnight,Frost,DPS,17,3,3,2,257668,271729,271904,1.0,66.7,307.3,0,,,,3277.0
all,DeathKnight,Frost,DPS,18,1,1,1,240128,240128,240128,0.0,100.0,310.0,1,0.0,0.0,100.0,3277.0
all,DeathKnight,Unholy,DPS,2,560,553,510,110148,108910,146507,0.15,87.1,292.5,54,68.5,29.6,1.9,
all,DeathKnight,Unholy,DPS,3,115,115,113,111062,110427,144959,0.15,87.8,291.8,3,66.7,33.3,0.0,2916.0
all,DeathKnight,Unholy,DPS,4,230,227,224,120614,117566,159865,0.16,86.1,292.8,15,73.3,26.7,0.0,2726.0
all,DeathKnight,Unholy,DPS,5,455,446,424,136039,133117,176846,0.13,87.7,294.6,25,72.0,24.0,4.0,2761.0
all,DeathKnight,Unholy,DPS,6,318,310,289,140324,139542,183028,0.11,89.0,295.5,23,56.5,30.4,13.0,2916.0
all,DeathKnight,Unholy,DPS,7,232,228,212,173417,172457,222821,0.15,86.6,296.3,10,80.0,20.0,0.0,2894.0
all,DeathKnight,Unholy,DPS,8,234,231,219,191005,189364,235524,0.2,82.5,297.3,12,41.7,50.0,8.3,2942.0
all,DeathKnight,Unholy,DPS,9,319,311,300,189329,188825,235163,0.17,84.3,297.8,7,28.6,42.9,28.6,2860.0
all,DeathKnight,Unholy,DPS,10,2119,2082,1035,205140,202751,259917,0.24,79.4,299.4,87,29.9,12.6,57.5,2848.0
all,DeathKnight,Unholy,DPS,11,2051,2015,1216,193057,190588,249702,0.6,64.0,297.8,34,20.6,20.6,58.8,2889.0
all,DeathKnight,Unholy,DPS,12,1705,1685,1037,196617,197517,246019,0.48,68.6,300.3,40,30.0,30.0,40.0,3011.0
all,DeathKnight,Unholy,DPS,13,1541,1531,821,209254,209502,254784,0.39,67.9,303.4,52,21.2,36.5,42.3,3103.0
all,DeathKnight,Unholy,DPS,14,1258,1248,538,219097,219986,265260,0.6,56.8,305.2,109,19.3,31.2,49.5,3173.0
all,DeathKnight,Unholy,DPS,15,419,410,183,233963,234290,286314,0.6,59.4,306.2,51,11.8,13.7,74.5,3228.0
all,DeathKnight,Unholy,DPS,16,72,72,36,247558,248808,297370,0.58,56.9,306.9,7,28.6,28.6,42.9,3292.0
all,DeathKnight,Unholy,DPS,17,1,1,1,318785,318785,318785,0.0,100.0,307.0,0,,,,
all,DemonHunter,Devourer,DPS,2,620,612,547,109243,107818,150352,0.28,76.3,291.0,54,72.2,18.5,9.3,
all,DemonHunter,Devourer,DPS,3,117,115,116,116206,114421,150192,0.31,76.1,291.2,3,66.7,0.0,33.3,3065.0
all,DemonHunter,Devourer,DPS,4,280,278,274,114125,112710,148716,0.24,80.0,291.4,18,88.9,11.1,0.0,
all,DemonHunter,Devourer,DPS,5,568,558,514,135676,134244,176637,0.35,72.9,293.9,32,71.9,18.8,9.4,
all,DemonHunter,Devourer,DPS,6,344,340,308,143554,141364,184929,0.23,81.1,295.9,20,55.0,30.0,15.0,3065.0
all,DemonHunter,Devourer,DPS,7,259,255,237,170669,171322,212849,0.37,69.9,297.0,3,100.0,0.0,0.0,2926.0
all,DemonHunter,Devourer,DPS,8,298,292,274,186581,184016,228489,0.41,68.1,297.8,16,31.2,43.8,25.0,2884.0
all,DemonHunter,Devourer,DPS,9,413,405,373,189491,188393,231914,0.41,66.1,299.0,13,38.5,38.5,23.1,2913.0
all,DemonHunter,Devourer,DPS,10,3412,3327,1382,207339,207720,255882,0.47,64.5,301.3,99,26.3,18.2,55.6,2863.0
all,DemonHunter,Devourer,DPS,11,2685,2643,1541,192799,192491,240468,1.05,45.0,299.0,57,35.1,19.3,45.6,2917.0
