subset,class,spec,role,reset_bucket,reset_start,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,0,2026-08-18,42313,42309,12719,117357,117166,155667,0.13,90.3,302.4,1818,41.1,36.5,22.4,2970.0
all,DeathKnight,Frost,DPS,0,2026-08-18,2662,2652,1259,170577,174508,228147,0.42,71.5,298.5,120,33.3,35.8,30.8,2935.0
all,DeathKnight,Unholy,DPS,0,2026-08-18,11629,11465,4339,190508,192931,251154,0.39,71.8,299.7,529,34.2,25.9,39.9,2956.0
all,DemonHunter,Devourer,DPS,0,2026-08-18,15383,15172,4749,191053,194337,244909,0.7,55.4,300.8,653,35.8,27.1,37.1,2971.0
all,DemonHunter,Havoc,DPS,0,2026-08-18,4793,4762,2189,173880,178102,231192,0.5,65.9,298.4,234,50.0,28.6,21.4,2909.0
all,DemonHunter,Vengeance,Tank,0,2026-08-18,6159,6159,2572,104953,105136,141852,0.14,90.3,299.3,388,49.0,25.3,25.8,2921.0
all,Druid,Balance,DPS,0,2026-08-18,13443,13346,5029,178535,180944,235152,0.6,62.7,299.9,628,35.2,26.6,38.2,2902.0
all,Druid,Feral,DPS,0,2026-08-18,3522,3511,1269,188979,192450,254302,0.62,60.0,299.5,227,53.3,28.2,18.5,3112.0
all,Druid,Guardian,Tank,0,2026-08-18,9792,9792,3863,95437,94797,129989,0.16,87.8,299.5,515,51.1,25.4,23.5,2941.0
all,Druid,Restoration,Healer,0,2026-08-18,4306,4306,2217,14459,10856,26361,0.55,63.8,296.5,201,61.2,23.4,15.4,2857.0
all,Evoker,Augmentation,DPS,0,2026-08-18,1122,1122,559,148331,150080,198717,0.45,73.9,296.6,27,66.7,14.8,18.5,2840.0
all,Evoker,Devastation,DPS,0,2026-08-18,5300,5202,1891,191554,193207,247667,0.63,61.1,299.6,227,37.0,21.1,41.9,2817.0
all,Evoker,Preservation,Healer,0,2026-08-18,5713,5713,2164,39718,38194,59832,0.7,58.2,299.5,262,33.6,32.1,34.4,2829.0
all,Hunter,BeastMastery,DPS,0,2026-08-18,12818,12532,6459,164079,163674,217670,0.55,65.1,298.6,670,47.0,27.8,25.2,2857.0
all,Hunter,Marksmanship,DPS,0,2026-08-18,6801,6693,2514,184281,187833,237291,0.52,65.4,301.1,338,27.5,15.4,57.1,2858.0
all,Hunter,Survival,DPS,0,2026-08-18,1500,1491,785,156698,155644,212878,0.54,65.8,298.1,100,41.0,20.0,39.0,2961.0
all,Mage,Arcane,DPS,0,2026-08-18,45712,43772,14456,200384,203987,259742,0.55,63.0,302.1,2266,25.8,32.7,41.5,2975.0
all,Mage,Fire,DPS,0,2026-08-18,709,709,369,178958,184062,246503,0.37,77.0,296.4,25,64.0,8.0,28.0,2856.0
all,Mage,Frost,DPS,0,2026-08-18,1531,1522,1111,136519,132516,191804,0.53,66.6,294.7,76,73.7,21.1,5.3,2792.0
