subset,class,spec,characters,parses,median_dps,projected_median_dps,avg_dps,projected_avg_dps,median_change_pct,avg_change_pct,tuned
post_tuning,DeathKnight,Frost,67,98,234870,247944,239637,251818,5.57,5.08,True
post_tuning,Shaman,Enhancement,40,58,237644,248824,244126,255782,4.7,4.77,True
post_tuning,Warrior,Fury,16,20,225093,235197,225348,235094,4.49,4.33,True
post_tuning,Rogue,Assassination,44,68,267914,278349,265433,275954,3.89,3.96,True
post_tuning,Warlock,Demonology,33,59,201464,206299,216618,221556,2.4,2.28,True
post_tuning,DeathKnight,Unholy,96,165,257752,257752,265548,265548,0.0,0.0,False
post_tuning,DemonHunter,Havoc,69,129,246853,246853,245843,245843,0.0,0.0,False
post_tuning,Druid,Balance,163,292,246222,246222,247232,247232,0.0,0.0,False
post_tuning,Druid,Feral,24,49,257144,257144,262863,262863,0.0,0.0,False
post_tuning,Evoker,Augmentation,18,52,215976,215976,210192,210192,0.0,0.0,False
post_tuning,Evoker,Devastation,25,79,252995,252995,252240,252240,0.0,0.0,False
post_tuning,Hunter,Marksmanship,72,108,232893,232893,238683,238683,0.0,0.0,False
post_tuning,Hunter,Survival,22,29,223031,223031,227540,227540,0.0,0.0,False
post_tuning,Mage,Fire,14,20,213790,213790,215679,215679,0.0,0.0,False
post_tuning,Mage,Frost,9,13,179298,179298,184417,184417,0.0,0.0,False
post_tuning,Monk,Windwalker,95,185,259691,259691,264468,264468,0.0,0.0,False
post_tuning,Paladin,Retribution,75,113,212381,212381,224926,224926,0.0,0.0,False
post_tuning,Priest,Shadow,64,123,226880,226880,234640,234640,0.0,0.0,False
post_tuning,Rogue,Outlaw,69,124,261656,261656,269641,269641,0.0,0.0,False
post_tuning,Shaman,Elemental,217,477,283178,283178,286641,286641,0.0,0.0,False
post_tuning,Warlock,Affliction,42,83,240876,240876,238654,238654,0.0,0.0,False
post_tuning,Warlock,Destruction,55,91,255546,255546,258408,258408,0.0,0.0,False
post_tuning,Hunter,BeastMastery,24,37,254418,253684,244623,244696,-0.29,0.03,True
post_tuning,Rogue,Subtlety,35,54,258316,255796,258379,259904,-0.98,0.59,True
post_tuning,Warrior,Arms,343,681,280588,273757,280466,272408,-2.43,-2.87,True
post_tuning,Mage,Arcane,557,1150,278612,269708,281064,271666,-3.2,-3.34,True
post_tuning,DemonHunter,Devourer,185,332,256758,248183,258010,249367,-3.34,-3.35,True
post_tuning_timed,Shaman,Enhancement,26,33,262800,275204,258247,270579,4.72,4.78,True
post_tuning_timed,DeathKnight,Frost,39,51,245176,256233,252994,265365,4.51,4.89,True
post_tuning_timed,Warrior,Fury,11,11,224528,234594,225168,235194,4.48,4.45,True
post_tuning_timed,Rogue,Assassination,25,34,291267,302860,281441,292610,3.98,3.97,True
post_tuning_timed,Hunter,BeastMastery,14,21,262776,269818,258776,266620,2.68,3.03,True
post_tuning_timed,Warlock,Demonology,21,38,196819,202014,211085,215834,2.64,2.25,True
post_tuning_timed,Rogue,Subtlety,23,33,275509,280799,272133,274220,1.92,0.77,True
post_tuning_timed,DeathKnight,Unholy,59,96,272525,272525,280971,280971,0.0,0.0,False
post_tuning_timed,DemonHunter,Havoc,51,81,246302,246302,249611,249611,0.0,0.0,False
post_tuning_timed,Druid,Balance,117,191,249772,249772,252628,252628,0.0,0.0,False
post_tuning_timed,Druid,Feral,17,30,291802,291802,268432,268432,0.0,0.0,False
post_tuning_timed,Evoker,Augmentation,10,28,227712,227712,211012,211012,0.0,0.0,False
post_tuning_timed,Evoker,Devastation,15,39,265532,265532,267704,267704,0.0,0.0,False
post_tuning_timed,Hunter,Marksmanship,46,66,244831,244831,249268,249268,0.0,0.0,False
post_tuning_timed,Hunter,Survival,15,18,229523,229523,246363,246363,0.0,0.0,False
post_tuning_timed,Mage,Fire,7,11,223836,223836,240786,240786,0.0,0.0,False
post_tuning_timed,Mage,Frost,5,6,193153,193153,193394,193394,0.0,0.0,False
post_tuning_timed,Monk,Windwalker,67,103,263833,263833,262612,262612,0.0,0.0,False
post_tuning_timed,Paladin,Retribution,44,68,227915,227915,237202,237202,0.0,0.0,False
post_tuning_timed,Priest,Shadow,40,70,234842,234842,243276,243276,0.0,0.0,False
post_tuning_timed,Rogue,Outlaw,50,81,268510,268510,284616,284616,0.0,0.0,False
post_tuning_timed,Shaman,Elemental,136,277,295545,295545,301755,301755,0.0,0.0,False
post_tuning_timed,Warlock,Affliction,26,49,249043,249043,245887,245887,0.0,0.0,False
post_tuning_timed,Warlock,Destruction,38,55,270940,270940,272219,272219,0.0,0.0,False
post_tuning_timed,Warrior,Arms,254,433,290798,284512,289702,281857,-2.16,-2.71,True
post_tuning_timed,DemonHunter,Devourer,115,173,263014,255360,267386,257874,-2.91,-3.56,True
post_tuning_timed,Mage,Arcane,390,706,293480,283947,294593,284963,-3.25,-3.27,True
