subset,composition,runs,strength,avg_key,avg_pct_under,best_pct_under,median_pct_under,key_slope,ref_key,best_time_s,best_dungeon,best_key,best_date,median_time_s,avg_deaths_per_run,timed_pct
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Elemental Shaman | D:Arms Warrior,162,2.46,9.2,21.4,55.1,23.0,-3.82,8.8,808.0,Voidscar Arena,2,2026-08-20,1380.0,5.24,88.3
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,89,3.77,9.8,18.2,54.5,20.4,-3.82,8.8,874.0,Den of Nalorakk,2,2026-08-19,1501.0,5.47,87.6
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,86,3.03,9.0,23.5,52.8,25.6,-3.82,8.8,850.0,The Blinding Vale,4,2026-08-19,1416.0,4.01,91.9
all,T:Blood DeathKnight | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,82,1.94,9.1,21.7,60.1,24.6,-3.82,8.8,718.0,Voidscar Arena,2,2026-08-19,1373.0,5.41,90.2
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,71,2.87,10.0,15.5,53.6,13.8,-3.82,8.8,890.0,Temple of Sethraliss,2,2026-08-19,1585.0,6.51,81.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Arcane Mage | D:Retribution Paladin | D:Arms Warrior,71,-2.05,8.5,22.3,55.8,23.9,-3.82,8.8,743.0,Ruby Life Pools,2,2026-08-20,1448.0,4.77,88.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Devourer DemonHunter | D:Arcane Mage | D:Arms Warrior,70,6.82,9.7,22.1,57.3,23.1,-3.82,8.8,718.0,Ruby Life Pools,2,2026-08-19,1468.0,4.83,92.9
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Arcane Mage | D:Elemental Shaman,60,2.52,9.5,19.1,52.8,19.8,-3.82,8.8,849.0,Altar of Fangs,2,2026-08-19,1508.0,3.98,90.0
all,T:Blood DeathKnight | H:Holy Paladin | D:Balance Druid | D:Elemental Shaman | D:Arms Warrior,58,6.06,9.2,25.1,55.0,23.5,-3.82,8.8,891.0,Kings' Rest,2,2026-08-18,1352.0,3.93,93.1
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Balance Druid | D:Arcane Mage,54,3.99,9.8,18.8,50.6,20.8,-3.82,8.8,978.0,Kings' Rest,2,2026-08-19,1514.0,5.61,90.7
all,T:Blood DeathKnight | H:Restoration Shaman | D:Unholy DeathKnight | D:Arcane Mage | D:Arms Warrior,52,2.8,9.5,19.4,49.2,19.6,-3.82,8.8,914.0,Voidscar Arena,5,2026-08-20,1530.0,4.83,82.7
all,T:Blood DeathKnight | H:Holy Paladin | D:Devourer DemonHunter | D:Arcane Mage | D:Elemental Shaman,51,2.72,9.6,18.3,56.7,18.5,-3.82,8.8,884.0,Murder Row,2,2026-08-18,1499.0,5.35,88.2
all,T:Blood DeathKnight | H:Restoration Shaman | D:Arcane Mage | D:Subtlety Rogue | D:Arms Warrior,48,2.43,9.4,20.2,48.7,23.0,-3.82,8.8,1047.0,Murder Row,4,2026-08-19,1458.0,4.98,89.6
all,T:Protection Paladin | H:Restoration Shaman | D:Balance Druid | D:Arcane Mage | D:Arms Warrior,48,1.06,8.8,23.0,60.1,23.3,-3.82,8.8,671.0,Ruby Life Pools,5,2026-08-19,1397.0,4.75,93.8
all,T:Blood DeathKnight | H:Restoration Shaman | D:Windwalker Monk | D:Outlaw Rogue | D:Arms Warrior,47,7.8,10.2,19.6,54.7,19.0,-3.82,8.8,925.0,Murder Row,2,2026-08-18,1463.0,5.3,93.6
