run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer,set_pieces,player_rating
5329,7285,Monk,Brewmaster,Master of Harmony,Tank,US,Temple of Sethraliss,10,1,1551.6,66419,0,289.0,2026-08-19,0,-1,1552.0,19.2,,
5329,7286,Shaman,Restoration,Totemic,Healer,US,Temple of Sethraliss,10,1,1551.6,26114,0,298.0,2026-08-19,0,-1,1552.0,19.2,,2948
5329,7287,Druid,Balance,Elune's Chosen,DPS,US,Temple of Sethraliss,10,1,1551.6,149431,0,291.0,2026-08-19,0,-1,1552.0,19.2,,
5329,7289,Rogue,Subtlety,Deathstalker,DPS,US,Temple of Sethraliss,10,1,1551.6,169382,0,294.0,2026-08-19,0,-1,1552.0,19.2,,
5329,7288,Paladin,Retribution,Herald of the Sun,DPS,US,Temple of Sethraliss,10,1,1551.6,182943,0,293.0,2026-08-19,0,-1,1552.0,19.2,,
79042,98213,DeathKnight,Blood,San'layn,Tank,CN,The Blinding Vale,16,1,1782.8,167701,0,312.0,2026-08-23,0,-1,1783.0,1.0,,
79042,144880,Evoker,Preservation,Flameshaper,Healer,CN,The Blinding Vale,16,1,1782.8,38870,3,307.0,2026-08-23,0,-1,1783.0,1.0,,
79042,98216,Paladin,Retribution,Herald of the Sun,DPS,CN,The Blinding Vale,16,1,1782.8,236684,3,311.0,2026-08-23,0,-1,1783.0,1.0,,
79042,98214,Priest,Shadow,Voidweaver,DPS,CN,The Blinding Vale,16,1,1782.8,251040,1,310.0,2026-08-23,0,-1,1783.0,1.0,,
79042,70077,Mage,Arcane,Sunfury,DPS,CN,The Blinding Vale,16,1,1782.8,265696,2,313.0,2026-08-23,0,-1,1783.0,1.0,,
84414,149001,DeathKnight,Blood,Deathbringer,Tank,US,Temple of Sethraliss,13,1,1520.2,128812,0,307.0,2026-08-23,0,-1,1520.0,20.8,2,
84414,7291,Priest,Holy,Oracle,Healer,US,Temple of Sethraliss,13,1,1520.2,19294,0,305.0,2026-08-23,0,-1,1520.0,20.8,0,2978
