tuning_mult,projected_dps,run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
1.0,346060,1201,3275,Mage,Arcane,Spellslinger,DPS,US,Ruby Life Pools,15,1,1267.1,346060,0,334,2026-07-18,4,0,1289.0,23.3
1.0,186916,1201,1926,DemonHunter,Devourer,Annihilator,DPS,US,Ruby Life Pools,15,1,1267.1,186916,1,334,2026-07-18,4,0,1289.0,23.3
1.0,268685,1201,22,Hunter,Survival,Pack Leader,DPS,US,Ruby Life Pools,15,1,1267.1,268685,1,334,2026-07-18,4,0,1289.0,23.3
1.0,132205,1202,3276,DemonHunter,Vengeance,Annihilator,Tank,US,Temple of Sethraliss,17,0,2116.3,132205,2,334,2026-07-22,3,0,2318.0,-20.7
1.0,42313,1202,185,Shaman,Restoration,Farseer,Healer,US,Temple of Sethraliss,17,0,2116.3,42313,3,334,2026-07-22,3,0,2318.0,-20.7
1.0,250064,1202,109,Rogue,Outlaw,Trickster,DPS,US,Temple of Sethraliss,17,0,2116.3,250064,3,334,2026-07-22,3,0,2318.0,-20.7
1.0,246186,1202,1800,Warrior,Arms,Slayer,DPS,US,Temple of Sethraliss,17,0,2116.3,246186,7,334,2026-07-22,3,0,2318.0,-20.7
1.0,221076,1202,46,Warrior,Fury,Slayer,DPS,US,Temple of Sethraliss,17,0,2116.3,221076,3,334,2026-07-22,3,0,2318.0,-20.7
1.0,121497,1203,3277,Paladin,Protection,Lightsmith,Tank,US,Ruby Life Pools,15,-1,1337.5,121497,1,334,2026-07-09,5,0,1374.0,18.2
1.0,58175,1203,3278,Priest,Discipline,Voidweaver,Healer,US,Ruby Life Pools,15,-1,1337.5,58175,0,334,2026-07-09,5,0,1374.0,18.2
1.0,251731,1203,2659,Rogue,Outlaw,Trickster,DPS,US,Ruby Life Pools,15,-1,1337.5,251731,0,334,2026-07-09,5,0,1374.0,18.2
1.0,217984,1203,3279,Druid,Balance,Elune's Chosen,DPS,US,Ruby Life Pools,15,-1,1337.5,217984,2,334,2026-07-09,5,0,1374.0,18.2
1.0,315079,1203,185,Shaman,Elemental,Farseer,DPS,US,Ruby Life Pools,15,-1,1337.5,315079,0,334,2026-07-09,5,0,1374.0,18.2
1.0,207166,1204,998,Paladin,Protection,Lightsmith,Tank,US,Altar of Fangs,15,-1,1283.3,207166,0,328,2026-07-02,6,0,1290.0,28.3
1.0,42611,1204,185,Shaman,Restoration,Totemic,Healer,US,Altar of Fangs,15,-1,1283.3,42611,1,328,2026-07-02,6,0,1290.0,28.3
1.0,289490,1204,280,Warrior,Fury,Slayer,DPS,US,Altar of Fangs,15,-1,1283.3,289490,0,328,2026-07-02,6,0,1290.0,28.3
1.0,317339,1204,189,Mage,Arcane,Spellslinger,DPS,US,Altar of Fangs,15,-1,1283.3,317339,0,328,2026-07-02,6,0,1290.0,28.3
1.0,358312,1204,188,Warrior,Arms,Colossus,DPS,US,Altar of Fangs,15,-1,1283.3,358312,0,328,2026-07-02,6,0,1290.0,28.3
1.0,181894,1205,1694,DemonHunter,Vengeance,Unknown,Tank,EU,Ruby Life Pools,15,0,1523.2,181894,1,334,2026-07-24,3,0,1724.0,-2.6
1.0,55195,1205,3280,Monk,Mistweaver,Unknown,Healer,EU,Ruby Life Pools,15,0,1523.2,55195,2,334,2026-07-24,3,0,1724.0,-2.6
1.0,207265,1205,3281,DeathKnight,Frost,Unknown,DPS,EU,Ruby Life Pools,15,0,1523.2,207265,5,334,2026-07-24,3,0,1724.0,-2.6
1.0,262471,1205,3282,Hunter,Marksmanship,Unknown,DPS,EU,Ruby Life Pools,15,0,1523.2,262471,3,334,2026-07-24,3,0,1724.0,-2.6
1.0,305859,1205,895,Warrior,Arms,Unknown,DPS,EU,Ruby Life Pools,15,0,1523.2,305859,3,334,2026-07-24,3,0,1724.0,-2.6
1.0,85078,1206,3283,Druid,Guardian,Elune's Chosen,Tank,US,Altar of Fangs,12,-1,2136.7,85078,3,315,2026-06-29,7,0,2368.0,-31.6
1.0,53146,1206,3284,Monk,Mistweaver,Conduit of the Celestials,Healer,US,Altar of Fangs,12,-1,2136.7,53146,4,315,2026-06-29,7,0,2368.0,-31.6
1.0,185332,1206,570,Priest,Shadow,Voidweaver,DPS,US,Altar of Fangs,12,-1,2136.7,185332,5,315,2026-06-29,7,0,2368.0,-31.6
1.0,148355,1206,517,Paladin,Retribution,Herald of the Sun,DPS,US,Altar of Fangs,12,-1,2136.7,148355,6,315,2026-06-29,7,0,2368.0,-31.6
1.0,152464,1206,778,Hunter,Survival,Pack Leader,DPS,US,Altar of Fangs,12,-1,2136.7,152464,5,315,2026-06-29,7,0,2368.0,-31.6
1.0,204652,1207,998,Paladin,Protection,Lightsmith,Tank,US,Altar of Fangs,15,-1,1646.2,204652,3,328,2026-06-27,7,0,1998.0,-11.0
1.0,67748,1207,3285,Monk,Mistweaver,Conduit of the Celestials,Healer,US,Altar of Fangs,15,-1,1646.2,67748,5,328,2026-06-27,7,0,1998.0,-11.0
1.0,281526,1207,1502,Paladin,Retribution,Herald of the Sun,DPS,US,Altar of Fangs,15,-1,1646.2,281526,6,328,2026-06-27,7,0,1998.0,-11.0
1.0,337270,1207,3286,DeathKnight,Unholy,Rider of the Apocalypse,DPS,US,Altar of Fangs,15,-1,1646.2,337270,3,328,2026-06-27,7,0,1998.0,-11.0
1.0,245020,1207,2275,Shaman,Enhancement,Stormbringer,DPS,US,Altar of Fangs,15,-1,1646.2,245020,8,328,2026-06-27,7,0,1998.0,-11.0
1.0,116230,1208,3287,DeathKnight,Blood,San'layn,Tank,EU,Murder Row,12,0,1975.6,116230,1,321,2026-07-24,3,0,2178.0,-6.7
1.0,25763,1208,3288,Paladin,Holy,Lightsmith,Healer,EU,Murder Row,12,0,1975.6,25763,2,321,2026-07-24,3,0,2178.0,-6.7
1.0,170594,1208,2044,DeathKnight,Unholy,San'layn,DPS,EU,Murder Row,12,0,1975.6,170594,4,321,2026-07-24,3,0,2178.0,-6.7
1.0,174082,1208,3289,Warrior,Arms,Slayer,DPS,EU,Murder Row,12,0,1975.6,174082,2,321,2026-07-24,3,0,2178.0,-6.7
1.0,129084,1208,2045,Shaman,Elemental,Stormbringer,DPS,EU,Murder Row,12,0,1975.6,129084,5,321,2026-07-24,3,0,2178.0,-6.7
1.0,132490,1209,499,Paladin,Protection,Lightsmith,Tank,EU,Murder Row,15,1,1839.2,132490,0,334,2026-07-26,3,0,1951.0,4.4
1.0,15973,1209,3290,Shaman,Restoration,Totemic,Healer,EU,Murder Row,15,1,1839.2,15973,3,334,2026-07-26,3,0,1951.0,4.4
1.0,232727,1209,3291,DeathKnight,Unholy,San'layn,DPS,EU,Murder Row,15,1,1839.2,232727,1,334,2026-07-26,3,0,1951.0,4.4
1.0,237219,1209,3292,Mage,Arcane,Spellslinger,DPS,EU,Murder Row,15,1,1839.2,237219,2,334,2026-07-26,3,0,1951.0,4.4
1.0,259512,1209,934,Warlock,Demonology,Diabolist,DPS,EU,Murder Row,15,1,1839.2,259512,2,334,2026-07-26,3,0,1951.0,4.4
1.0,144312,1210,3293,Paladin,Protection,Lightsmith,Tank,KR,Voidscar Arena,18,1,1640.8,144312,1,334,2026-07-21,4,0,1722.0,4.3
1.0,78654,1210,3294,Monk,Mistweaver,Conduit of the Celestials,Healer,KR,Voidscar Arena,18,1,1640.8,78654,1,334,2026-07-21,4,0,1722.0,4.3
1.0,375602,1210,3295,Druid,Balance,Elune's Chosen,DPS,KR,Voidscar Arena,18,1,1640.8,375602,1,334,2026-07-21,4,0,1722.0,4.3
1.0,327331,1210,1178,Hunter,Marksmanship,Sentinel,DPS,KR,Voidscar Arena,18,1,1640.8,327331,1,334,2026-07-21,4,0,1722.0,4.3
1.0,261948,1210,3296,Warrior,Arms,Slayer,DPS,KR,Voidscar Arena,18,1,1640.8,261948,2,334,2026-07-21,4,0,1722.0,4.3
1.0,172619,1211,442,Paladin,Protection,Lightsmith,Tank,EU,The Blinding Vale,18,0,1831.3,172619,0,334,2026-07-18,4,0,1988.0,-6.9
1.0,77816,1211,736,Monk,Mistweaver,Master of Harmony,Healer,EU,The Blinding Vale,18,0,1831.3,77816,1,334,2026-07-18,4,0,1988.0,-6.9
1.0,366924,1211,444,DemonHunter,Devourer,Annihilator,DPS,EU,The Blinding Vale,18,0,1831.3,366924,1,334,2026-07-18,4,0,1988.0,-6.9
1.0,276743,1211,738,Shaman,Enhancement,Stormbringer,DPS,EU,The Blinding Vale,18,0,1831.3,276743,6,334,2026-07-18,4,0,1988.0,-6.9
1.0,298627,1211,446,Druid,Balance,Elune's Chosen,DPS,EU,The Blinding Vale,18,0,1831.3,298627,3,334,2026-07-18,4,0,1988.0,-6.9
1.0,136382,1212,656,Paladin,Protection,Lightsmith,Tank,EU,Altar of Fangs,15,1,1546.5,136382,0,334,2026-07-15,4,0,1568.0,12.9
1.0,54690,1212,1334,Monk,Mistweaver,Conduit of the Celestials,Healer,EU,Altar of Fangs,15,1,1546.5,54690,0,334,2026-07-15,4,0,1568.0,12.9
1.0,304390,1212,658,Mage,Arcane,Spellslinger,DPS,EU,Altar of Fangs,15,1,1546.5,304390,1,334,2026-07-15,4,0,1568.0,12.9
1.0,318134,1212,660,Shaman,Elemental,Farseer,DPS,EU,Altar of Fangs,15,1,1546.5,318134,0,334,2026-07-15,4,0,1568.0,12.9
1.0,331192,1212,659,Warrior,Arms,Colossus,DPS,EU,Altar of Fangs,15,1,1546.5,331192,1,334,2026-07-15,4,0,1568.0,12.9
1.0,162199,1213,2152,DeathKnight,Blood,Deathbringer,Tank,EU,The Blinding Vale,17,0,1829.2,162199,0,334,2026-07-22,3,0,2031.0,-9.2
1.0,41441,1213,1808,Shaman,Restoration,Farseer,Healer,EU,The Blinding Vale,17,0,1829.2,41441,5,334,2026-07-22,3,0,2031.0,-9.2
1.0,236608,1213,3297,Hunter,BeastMastery,Pack Leader,DPS,EU,The Blinding Vale,17,0,1829.2,236608,8,334,2026-07-22,3,0,2031.0,-9.2
1.0,335731,1213,2153,DeathKnight,Unholy,San'layn,DPS,EU,The Blinding Vale,17,0,1829.2,335731,2,334,2026-07-22,3,0,2031.0,-9.2
1.0,281216,1213,1878,DemonHunter,Devourer,Annihilator,DPS,EU,The Blinding Vale,17,0,1829.2,281216,2,334,2026-07-22,3,0,2031.0,-9.2
1.0,136371,1214,852,Paladin,Protection,Lightsmith,Tank,US,Murder Row,15,1,1867.5,136371,0,334,2026-07-22,3,0,1934.0,5.2
1.0,61597,1214,853,Monk,Mistweaver,Conduit of the Celestials,Healer,US,Murder Row,15,1,1867.5,61597,1,334,2026-07-22,3,0,1934.0,5.2
1.0,223348,1214,3298,Priest,Shadow,Archon,DPS,US,Murder Row,15,1,1867.5,223348,0,334,2026-07-22,3,0,1934.0,5.2
1.0,239253,1214,733,DemonHunter,Devourer,Void-Scarred,DPS,US,Murder Row,15,1,1867.5,239253,2,334,2026-07-22,3,0,1934.0,5.2
1.0,180498,1214,3299,Druid,Balance,Elune's Chosen,DPS,US,Murder Row,15,1,1867.5,180498,2,334,2026-07-22,3,0,1934.0,5.2
1.0,124358,1215,3300,Paladin,Protection,Lightsmith,Tank,US,Ruby Life Pools,15,-1,1334.7,124358,0,334,2026-07-11,5,0,1326.0,21.1
1.0,66088,1215,144,Paladin,Holy,Lightsmith,Healer,US,Ruby Life Pools,15,-1,1334.7,66088,0,334,2026-07-11,5,0,1326.0,21.1
1.0,236242,1215,2682,Mage,Fire,Sunfury,DPS,US,Ruby Life Pools,15,-1,1334.7,236242,0,334,2026-07-11,5,0,1326.0,21.1
1.0,268825,1215,71,Priest,Shadow,Archon,DPS,US,Ruby Life Pools,15,-1,1334.7,268825,0,334,2026-07-11,5,0,1326.0,21.1
1.0,272134,1215,2684,DemonHunter,Devourer,Void-Scarred,DPS,US,Ruby Life Pools,15,-1,1334.7,272134,0,334,2026-07-11,5,0,1326.0,21.1
1.0,137846,1216,998,Paladin,Protection,Lightsmith,Tank,US,Den of Nalorakk,15,-1,1638.2,137846,2,328,2026-07-02,6,0,1915.0,0.2
1.0,23677,1216,999,Shaman,Restoration,Totemic,Healer,US,Den of Nalorakk,15,-1,1638.2,23677,4,328,2026-07-02,6,0,1915.0,0.2
1.0,209868,1216,280,Warrior,Fury,Slayer,DPS,US,Den of Nalorakk,15,-1,1638.2,209868,5,328,2026-07-02,6,0,1915.0,0.2
1.0,192513,1216,185,Shaman,Enhancement,Stormbringer,DPS,US,Den of Nalorakk,15,-1,1638.2,192513,5,328,2026-07-02,6,0,1915.0,0.2
1.0,279674,1216,3301,DeathKnight,Frost,Deathbringer,DPS,US,Den of Nalorakk,15,-1,1638.2,279674,3,328,2026-07-02,6,0,1915.0,0.2
