class,spec,role,parses_no_set,parses_2set,parses_4set,pct_no_set,pct_2set,pct_4set,median_dps_no_set,median_dps_2set,median_dps_4set,gain_pct_2set,gain_pct_4set,gain_pct_total,matched_cells
Paladin,Holy,Healer,513,536,249,39.5,41.3,19.2,18403,20508,28762,13.47,30.74,47.28,29
Shaman,Restoration,Healer,567,477,279,42.9,36.1,21.1,23870,32054,35524,23.39,8.45,33.63,25
Druid,Balance,DPS,220,166,236,35.4,26.7,37.9,158791,188180,223300,18.73,2.47,17.38,4
Rogue,Subtlety,DPS,160,72,242,33.8,15.2,51.1,171318,204198,234245,,,16.42,3
Mage,Arcane,DPS,583,733,930,26.0,32.6,41.4,169557,214887,239876,10.31,5.87,15.67,43
Druid,Guardian,Tank,261,131,119,51.1,25.6,23.3,87561,98251,116900,,,14.1,3
Paladin,Retribution,DPS,356,261,263,40.5,29.7,29.9,145303,200147,227686,6.7,4.09,11.63,13
Priest,Holy,Healer,244,129,73,54.7,28.9,16.4,20544,23359,25974,0.6,22.65,10.76,3
DeathKnight,Blood,Tank,743,648,399,41.5,36.2,22.3,110681,121512,142352,4.76,7.79,10.3,37
Shaman,Elemental,DPS,408,297,394,37.1,27.0,35.9,173881,209630,238564,3.22,9.33,9.28,19
Warrior,Arms,DPS,649,457,620,37.6,26.5,35.9,189593,196817,228239,-1.22,9.46,8.05,35
DeathKnight,Unholy,DPS,179,135,210,34.2,25.8,40.1,166848,205083,228581,,11.8,7.86,3
DemonHunter,Devourer,DPS,233,176,239,36.0,27.2,36.9,176491,206262,224780,1.71,7.31,7.47,6
Warlock,Demonology,DPS,230,108,193,43.3,20.3,36.3,163267,197398,238974,,,6.16,3
DeathKnight,Frost,DPS,40,43,35,33.9,36.4,29.7,131800,186420,205672,,,,0
DemonHunter,Havoc,DPS,117,67,49,50.2,28.8,21.0,145566,177893,227660,,,,1
DemonHunter,Vengeance,Tank,190,96,100,49.2,24.9,25.9,98060,100873,131656,,,,2
Druid,Feral,DPS,121,63,41,53.8,28.0,18.2,186494,210270,233191,,,,0
Druid,Restoration,Healer,123,47,31,61.2,23.4,15.4,8389,10696,15768,,,,1
Evoker,Devastation,DPS,84,48,94,37.2,21.2,41.6,158600,212510,224137,,,,2
Evoker,Preservation,Healer,86,82,88,33.6,32.0,34.4,32244,43699,53636,,,,1
Hunter,BeastMastery,DPS,315,186,168,47.1,27.8,25.1,136984,177681,200728,15.93,,,4
Hunter,Marksmanship,DPS,92,52,189,27.6,15.6,56.8,150431,183362,216515,,,,2
Hunter,Survival,DPS,41,19,37,42.3,19.6,38.1,111704,149582,210175,,,,0
Mage,Frost,DPS,56,16,4,73.7,21.1,5.3,113662,132935,202245,,,,0
Monk,Brewmaster,Tank,115,55,54,51.3,24.6,24.1,84121,94569,116197,,,,1
Monk,Mistweaver,Healer,256,108,62,60.1,25.4,14.6,40047,47971,50823,,,,2
Monk,Windwalker,DPS,153,107,162,36.3,25.4,38.4,142644,179229,238413,,,,2
Paladin,Protection,Tank,432,249,125,53.6,30.9,15.5,89281,99160,112584,8.46,5.03,,7
Priest,Discipline,Healer,131,61,31,58.7,27.4,13.9,13670,21140,22316,,,,0
Priest,Shadow,DPS,158,78,161,39.8,19.6,40.6,164582,163921,222612,,,,1
Rogue,Assassination,DPS,131,83,143,36.7,23.2,40.1,182783,225559,245303,,,,0
Rogue,Outlaw,DPS,93,34,72,46.7,17.1,36.2,195682,201898,236861,,,,0
Shaman,Enhancement,DPS,116,107,127,33.1,30.6,36.3,146346,201790,232549,,,,2
Warlock,Destruction,DPS,69,36,59,42.1,22.0,36.0,117848,135257,228386,,,,0
Warrior,Fury,DPS,68,64,51,37.2,35.0,27.9,169666,220826,242419,,,,0
Warrior,Protection,Tank,208,51,61,65.0,15.9,19.1,100919,103514,137194,,,,1
