subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,DeathKnight,Blood,Tank,2026-08-18,1571,1571,696,101571,100766,127731,0.58,66.3,293.1
all,DeathKnight,Blood,Tank,2026-08-19,4214,4214,1829,110339,109039,139867,0.3,79.8,295.8
all,DeathKnight,Frost,DPS,2026-08-18,224,224,95,159919,160186,199331,1.17,38.8,293.5
all,DeathKnight,Frost,DPS,2026-08-19,347,346,192,168184,167718,212341,0.81,51.0,295.1
all,DeathKnight,Unholy,DPS,2026-08-18,608,602,319,164222,164941,199442,1.04,46.7,292.9
all,DeathKnight,Unholy,DPS,2026-08-19,1465,1438,681,178010,179202,218301,0.71,55.3,294.6
all,DemonHunter,Devourer,DPS,2026-08-18,795,759,350,170846,171743,210612,1.64,28.8,293.9
all,DemonHunter,Devourer,DPS,2026-08-19,1907,1883,855,185255,185725,229287,1.08,41.8,296.2
all,DemonHunter,Havoc,DPS,2026-08-18,180,178,97,162270,160486,201246,1.32,38.9,292.4
all,DemonHunter,Havoc,DPS,2026-08-19,525,524,265,177485,178652,219624,0.93,47.6,294.7
all,DemonHunter,Vengeance,Tank,2026-08-18,364,364,151,99497,98035,125915,0.61,69.5,293.2
all,DemonHunter,Vengeance,Tank,2026-08-19,653,653,307,107315,106126,136455,0.32,79.9,296.1
all,Druid,Balance,DPS,2026-08-18,686,673,323,158883,159022,195194,1.48,33.5,293.4
all,Druid,Balance,DPS,2026-08-19,1675,1668,787,171892,172666,210310,1.05,46.0,295.4
all,Druid,Feral,DPS,2026-08-18,133,133,67,168413,168794,206950,1.33,38.3,293.5
all,Druid,Feral,DPS,2026-08-19,312,307,164,182236,181894,228044,1.0,42.0,295.1
all,Druid,Guardian,Tank,2026-08-18,480,480,216,88368,87896,110755,0.59,65.4,293.5
all,Druid,Guardian,Tank,2026-08-19,1030,1030,481,94166,92860,121033,0.36,75.3,295.5
all,Druid,Restoration,Healer,2026-08-18,277,277,129,10556,8181,20331,1.58,26.0,292.8
all,Druid,Restoration,Healer,2026-08-19,498,498,233,14676,11004,28691,0.91,48.4,295.0
all,Evoker,Augmentation,DPS,2026-08-18,139,139,69,139848,138385,172896,1.12,51.1,292.7
all,Evoker,Augmentation,DPS,2026-08-19,244,244,136,149798,150437,183764,0.64,64.3,294.9
all,Evoker,Devastation,DPS,2026-08-18,452,447,182,172829,173796,211836,1.63,28.8,293.7
all,Evoker,Devastation,DPS,2026-08-19,946,919,372,190140,190644,233604,0.93,46.5,295.6
all,Evoker,Preservation,Healer,2026-08-18,356,356,158,30574,30594,42022,1.86,28.1,293.3
all,Evoker,Preservation,Healer,2026-08-19,751,751,316,35817,35376,49886,1.13,43.9,295.6
all,Hunter,BeastMastery,DPS,2026-08-18,711,678,332,156135,156671,186682,1.47,34.6,293.7
all,Hunter,BeastMastery,DPS,2026-08-19,1408,1375,733,168032,167612,204240,1.08,44.8,295.6
all,Hunter,Marksmanship,DPS,2026-08-18,343,341,157,161339,159924,198723,1.43,31.5,293.7
all,Hunter,Marksmanship,DPS,2026-08-19,843,837,363,175261,175284,214971,0.93,49.5,295.9
all,Hunter,Survival,DPS,2026-08-18,100,100,62,149262,143794,187832,1.52,38.0,293.2
all,Hunter,Survival,DPS,2026-08-19,189,189,122,156438,157386,189139,1.16,36.0,295.1
all,Mage,Arcane,DPS,2026-08-18,1553,1470,674,168467,168057,203740,1.52,32.0,293.2
all,Mage,Arcane,DPS,2026-08-19,3651,3508,1691,183872,183815,224649,0.96,47.3,295.6
all,Mage,Fire,DPS,2026-08-18,34,34,17,175300,177966,203296,1.12,52.9,292.8
all,Mage,Fire,DPS,2026-08-19,108,108,55,192849,190766,240992,0.78,60.2,295.3
all,Mage,Frost,DPS,2026-08-18,88,88,63,153035,153090,181544,1.51,35.2,292.9
all,Mage,Frost,DPS,2026-08-19,154,154,105,163935,163886,194603,1.25,41.6,294.8
all,Monk,Brewmaster,Tank,2026-08-18,239,239,115,88384,88410,107144,1.01,48.1,293.1
all,Monk,Brewmaster,Tank,2026-08-19,536,536,246,93711,93514,114640,0.55,66.8,294.8
all,Monk,Mistweaver,Healer,2026-08-18,347,347,175,38757,39214,49357,1.29,38.0,292.5
all,Monk,Mistweaver,Healer,2026-08-19,956,956,431,42156,42632,52496,0.75,56.4,294.7
all,Monk,Windwalker,DPS,2026-08-18,403,400,194,149828,150460,186468,1.56,30.0,293.3
all,Monk,Windwalker,DPS,2026-08-19,909,907,431,168392,168446,211543,1.05,43.1,295.8
all,Paladin,Holy,Healer,2026-08-18,940,940,424,17940,16532,28882,1.06,45.5,292.3
all,Paladin,Holy,Healer,2026-08-19,2446,2446,1202,20453,18508,32881,0.81,52.5,294.2
all,Paladin,Protection,Tank,2026-08-18,790,790,336,92029,91014,115428,0.62,63.5,292.8
all,Paladin,Protection,Tank,2026-08-19,1805,1805,862,95767,95047,120598,0.41,73.8,294.8
all,Paladin,Retribution,DPS,2026-08-18,605,585,291,166882,169858,203693,1.33,38.0,293.4
all,Paladin,Retribution,DPS,2026-08-19,1464,1448,763,178028,177441,219991,0.94,46.9,295.5
all,Priest,Discipline,Healer,2026-08-18,470,470,207,17315,16207,24569,1.41,38.1,293.3
all,Priest,Discipline,Healer,2026-08-19,882,882,401,19701,17738,31018,0.8,52.4,295.6
all,Priest,Holy,Healer,2026-08-18,295,295,128,22054,21546,33970,0.49,70.8,293.2
all,Priest,Holy,Healer,2026-08-19,557,557,278,25004,24012,37274,0.3,80.1,294.8
all,Priest,Shadow,DPS,2026-08-18,482,479,211,161635,161669,195280,1.38,36.1,293.1
all,Priest,Shadow,DPS,2026-08-19,1068,1043,468,179272,177758,222809,1.01,47.1,295.1
all,Rogue,Assassination,DPS,2026-08-18,177,175,91,182636,182168,225954,1.19,42.4,292.7
all,Rogue,Assassination,DPS,2026-08-19,563,560,257,203875,202111,255171,0.83,52.8,295.8
all,Rogue,Outlaw,DPS,2026-08-18,194,192,95,170306,172373,213323,1.46,39.7,292.5
all,Rogue,Outlaw,DPS,2026-08-19,516,514,242,195585,193714,247234,0.88,51.0,294.3
all,Rogue,Subtlety,DPS,2026-08-18,443,438,191,173388,173035,209169,1.05,51.7,293.7
all,Rogue,Subtlety,DPS,2026-08-19,1088,1072,517,187444,188684,229665,0.76,57.1,295.8
all,Shaman,Elemental,DPS,2026-08-18,703,693,340,168512,167687,206035,1.32,40.1,293.1
all,Shaman,Elemental,DPS,2026-08-19,2050,2018,920,190281,191011,234724,1.03,45.6,294.8
all,Shaman,Enhancement,DPS,2026-08-18,239,239,114,167413,166385,205775,1.73,27.6,293.2
all,Shaman,Enhancement,DPS,2026-08-19,659,655,311,184202,184872,224460,1.13,40.1,295.7
all,Shaman,Restoration,Healer,2026-08-18,1190,1190,547,22810,22269,31733,1.05,47.7,292.8
all,Shaman,Restoration,Healer,2026-08-19,3047,3047,1466,24945,24611,33603,0.71,58.3,294.6
all,Warlock,Affliction,DPS,2026-08-18,87,87,62,150381,151078,184298,1.38,37.9,293.2
all,Warlock,Affliction,DPS,2026-08-19,119,119,93,162310,165871,197036,1.01,45.4,294.8
all,Warlock,Demonology,DPS,2026-08-18,491,488,229,174260,175273,213316,1.55,35.8,293.8
all,Warlock,Demonology,DPS,2026-08-19,994,985,514,189008,189474,230544,1.04,44.1,295.4
all,Warlock,Destruction,DPS,2026-08-18,251,249,141,157534,156458,189391,1.77,27.9,293.7
all,Warlock,Destruction,DPS,2026-08-19,483,482,272,173112,174138,211139,1.04,45.8,295.6
all,Warrior,Arms,DPS,2026-08-18,1403,1337,563,174713,174698,218608,1.7,27.5,293.2
all,Warrior,Arms,DPS,2026-08-19,3469,3347,1564,185796,186392,228638,1.22,37.7,295.6
all,Warrior,Fury,DPS,2026-08-18,102,102,59,175390,179172,210949,1.47,36.3,294.2
all,Warrior,Fury,DPS,2026-08-19,259,259,152,185730,184947,227313,1.01,42.5,295.7
all,Warrior,Protection,Tank,2026-08-18,430,430,173,107409,108604,132973,0.8,56.7,292.6
all,Warrior,Protection,Tank,2026-08-19,900,900,374,118352,117418,149639,0.44,72.7,294.8
timed,DeathKnight,Blood,Tank,2026-08-18,1316,1316,590,103828,103428,129038,0.3,76.5,293.3
timed,DeathKnight,Blood,Tank,2026-08-19,3846,3846,1668,111781,110586,140494,0.18,85.4,295.9
timed,DeathKnight,Frost,DPS,2026-08-18,184,184,78,165087,164496,202574,0.8,45.7,293.5
timed,DeathKnight,Frost,DPS,2026-08-19,302,301,167,171970,173934,220035,0.54,57.9,295.0
timed,DeathKnight,Unholy,DPS,2026-08-18,501,496,261,168019,167570,201384,0.67,55.3,293.0
timed,DeathKnight,Unholy,DPS,2026-08-19,1302,1277,607,180929,182666,220505,0.52,60.8,294.7
timed,DemonHunter,Devourer,DPS,2026-08-18,666,632,291,175792,176012,215714,1.22,33.9,294.1
timed,DemonHunter,Devourer,DPS,2026-08-19,1744,1723,792,188336,187956,230900,0.86,45.5,296.3
timed,DemonHunter,Havoc,DPS,2026-08-18,149,147,79,167729,168898,204256,0.89,47.0,292.6
timed,DemonHunter,Havoc,DPS,2026-08-19,483,483,243,179994,180976,221373,0.73,51.3,294.9
timed,DemonHunter,Vengeance,Tank,2026-08-18,310,310,130,101006,99626,126794,0.32,78.4,293.3
timed,DemonHunter,Vengeance,Tank,2026-08-19,595,595,278,108979,106981,137099,0.19,85.0,296.2
timed,Druid,Balance,DPS,2026-08-18,575,565,274,162270,163063,199802,1.03,39.5,293.5
timed,Druid,Balance,DPS,2026-08-19,1512,1506,719,174537,175276,212443,0.78,50.7,295.5
timed,Druid,Feral,DPS,2026-08-18,110,110,55,171718,170900,208535,0.84,46.4,293.6
timed,Druid,Feral,DPS,2026-08-19,288,283,152,184720,182906,230908,0.83,44.8,295.2
timed,Druid,Guardian,Tank,2026-08-18,409,409,178,90001,89039,111634,0.33,74.6,293.6
timed,Druid,Guardian,Tank,2026-08-19,932,932,433,95664,94096,122846,0.22,82.0,295.6
timed,Druid,Restoration,Healer,2026-08-18,230,230,108,11260,9062,21700,1.23,29.6,292.8
timed,Druid,Restoration,Healer,2026-08-19,458,458,211,15338,11660,29757,0.7,52.6,295.0
timed,Evoker,Augmentation,DPS,2026-08-18,115,115,55,143488,145720,175517,0.62,60.9,292.7
timed,Evoker,Augmentation,DPS,2026-08-19,219,219,117,153189,152321,187496,0.39,71.2,295.2
timed,Evoker,Devastation,DPS,2026-08-18,388,383,148,177022,176632,215013,1.25,33.2,293.8
timed,Evoker,Devastation,DPS,2026-08-19,887,860,345,192498,192702,234458,0.77,49.3,295.6
timed,Evoker,Preservation,Healer,2026-08-18,286,286,131,31820,32286,42931,1.2,34.3,293.6
timed,Evoker,Preservation,Healer,2026-08-19,678,678,283,36453,36064,50111,0.84,48.4,295.8
timed,Hunter,BeastMastery,DPS,2026-08-18,603,577,282,159461,160260,189777,1.03,40.5,293.7
timed,Hunter,BeastMastery,DPS,2026-08-19,1264,1235,660,170525,170540,205181,0.8,49.4,295.7
timed,Hunter,Marksmanship,DPS,2026-08-18,303,301,137,163350,161676,199464,1.14,35.0,293.7
timed,Hunter,Marksmanship,DPS,2026-08-19,793,787,339,177408,176997,215873,0.74,52.5,296.0
timed,Hunter,Survival,DPS,2026-08-18,84,84,54,152549,150312,190919,0.94,45.2,293.4
timed,Hunter,Survival,DPS,2026-08-19,158,158,98,161603,163126,192336,0.81,42.4,295.1
timed,Mage,Arcane,DPS,2026-08-18,1290,1221,578,172288,171108,207247,1.06,38.2,293.3
timed,Mage,Arcane,DPS,2026-08-19,3324,3198,1538,186560,186605,226051,0.73,51.7,295.8
timed,Mage,Fire,DPS,2026-08-18,30,30,14,176820,186171,205279,0.83,60.0,292.9
timed,Mage,Fire,DPS,2026-08-19,101,101,52,195089,192124,241653,0.66,62.4,295.4
timed,Mage,Frost,DPS,2026-08-18,74,74,55,153996,152846,182246,1.19,40.5,292.9
timed,Mage,Frost,DPS,2026-08-19,136,136,92,166962,169719,197194,0.96,45.6,295.2
timed,Monk,Brewmaster,Tank,2026-08-18,198,198,94,90987,90662,108852,0.63,57.1,293.3
timed,Monk,Brewmaster,Tank,2026-08-19,489,489,225,94657,94147,115927,0.37,72.0,294.9
timed,Monk,Mistweaver,Healer,2026-08-18,281,281,143,39396,39487,50269,0.93,46.6,292.7
timed,Monk,Mistweaver,Healer,2026-08-19,883,883,399,42580,42959,52638,0.57,60.5,294.9
timed,Monk,Windwalker,DPS,2026-08-18,334,332,164,153886,154113,188453,1.13,36.2,293.4
timed,Monk,Windwalker,DPS,2026-08-19,820,818,382,171842,171000,213531,0.82,47.4,296.0
timed,Paladin,Holy,Healer,2026-08-18,807,807,362,18423,17117,29713,0.74,51.9,292.5
timed,Paladin,Holy,Healer,2026-08-19,2210,2210,1092,20991,19049,34043,0.6,57.5,294.3
timed,Paladin,Protection,Tank,2026-08-18,670,670,276,94619,94029,116536,0.35,72.5,293.0
timed,Paladin,Protection,Tank,2026-08-19,1605,1605,769,97732,96860,121987,0.23,80.6,294.9
timed,Paladin,Retribution,DPS,2026-08-18,508,491,240,170783,172361,206642,0.9,44.7,293.6
timed,Paladin,Retribution,DPS,2026-08-19,1296,1282,669,181503,180150,222568,0.68,52.5,295.7
timed,Priest,Discipline,Healer,2026-08-18,392,392,171,17717,16770,24674,1.01,44.4,293.3
timed,Priest,Discipline,Healer,2026-08-19,823,823,373,19944,17903,31488,0.66,55.7,295.7
timed,Priest,Holy,Healer,2026-08-18,260,260,114,22730,22030,34853,0.3,78.1,293.3
timed,Priest,Holy,Healer,2026-08-19,512,512,255,25722,25131,37637,0.2,84.0,294.9
timed,Priest,Shadow,DPS,2026-08-18,403,400,177,165854,167452,197394,0.97,41.9,293.2
timed,Priest,Shadow,DPS,2026-08-19,954,931,406,182789,181722,224994,0.73,52.6,295.2
timed,Rogue,Assassination,DPS,2026-08-18,156,155,80,186773,186291,227896,0.87,47.4,292.7
timed,Rogue,Assassination,DPS,2026-08-19,522,520,238,206851,204559,256834,0.64,56.9,295.9
timed,Rogue,Outlaw,DPS,2026-08-18,166,165,84,175838,177274,215911,1.08,45.8,292.6
timed,Rogue,Outlaw,DPS,2026-08-19,480,478,225,198072,196916,249554,0.71,54.4,294.4
timed,Rogue,Subtlety,DPS,2026-08-18,389,385,165,176565,176379,211718,0.76,58.1,293.7
timed,Rogue,Subtlety,DPS,2026-08-19,1010,994,484,190242,190486,230714,0.58,61.0,295.9
timed,Shaman,Elemental,DPS,2026-08-18,607,599,296,171300,169362,207817,0.93,46.0,293.2
timed,Shaman,Elemental,DPS,2026-08-19,1847,1819,836,193888,194873,236687,0.76,50.3,295.0
timed,Shaman,Enhancement,DPS,2026-08-18,194,194,92,172493,173148,207693,1.27,34.0,293.5
timed,Shaman,Enhancement,DPS,2026-08-19,612,608,291,186247,186622,225777,0.95,43.0,295.8
timed,Shaman,Restoration,Healer,2026-08-18,1013,1013,458,23438,23075,32316,0.7,55.3,292.9
timed,Shaman,Restoration,Healer,2026-08-19,2740,2740,1328,25381,24940,34073,0.5,63.6,294.7
timed,Warlock,Affliction,DPS,2026-08-18,69,69,52,153749,153838,186329,0.96,46.4,293.2
timed,Warlock,Affliction,DPS,2026-08-19,102,102,81,164513,168409,199171,0.75,51.0,294.9
timed,Warlock,Demonology,DPS,2026-08-18,411,409,204,178423,179040,216103,1.04,42.6,293.9
timed,Warlock,Demonology,DPS,2026-08-19,900,893,461,191940,192330,231911,0.8,48.6,295.5
timed,Warlock,Destruction,DPS,2026-08-18,194,193,112,163550,163734,191762,1.12,35.1,293.8
timed,Warlock,Destruction,DPS,2026-08-19,432,431,242,175796,176436,214897,0.74,50.9,295.7
timed,Warrior,Arms,DPS,2026-08-18,1221,1164,496,178821,178464,220681,1.3,31.4,293.3
timed,Warrior,Arms,DPS,2026-08-19,3192,3078,1454,188526,188662,230042,0.99,40.9,295.7
timed,Warrior,Fury,DPS,2026-08-18,84,84,50,182722,183740,215388,0.89,42.9,294.4
timed,Warrior,Fury,DPS,2026-08-19,236,236,138,188645,185878,229490,0.79,45.8,295.9
timed,Warrior,Protection,Tank,2026-08-18,365,365,147,109574,110864,134519,0.47,65.5,292.7
timed,Warrior,Protection,Tank,2026-08-19,838,838,338,120135,119220,150183,0.29,77.2,294.9
