subset,class,spec,role,dungeon,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,DeathKnight,Blood,Tank,Altar of Fangs,10544,10543,6998,105134,104280,138956,0.9,55.2,294.6
all,DeathKnight,Blood,Tank,Den of Nalorakk,8824,8824,6558,81589,81064,106019,0.48,70.2,294.1
all,DeathKnight,Blood,Tank,Kings' Rest,9414,9414,6814,71977,71680,92280,0.64,62.3,294.1
all,DeathKnight,Blood,Tank,Murder Row,10784,10784,7366,89390,88808,117738,0.57,67.9,294.3
all,DeathKnight,Blood,Tank,Ruby Life Pools,9125,9125,6773,103634,102979,134695,0.54,69.9,293.7
all,DeathKnight,Blood,Tank,Temple of Sethraliss,9309,9309,6808,93326,93244,122680,0.32,77.5,294.3
all,DeathKnight,Blood,Tank,The Blinding Vale,9355,9354,6732,104014,103321,134648,0.45,74.2,294.1
all,DeathKnight,Blood,Tank,Voidscar Arena,9406,9405,6754,89542,88638,117269,0.73,61.9,294.1
all,DeathKnight,Frost,DPS,Altar of Fangs,1174,1164,899,154629,154318,208620,1.35,37.7,293.0
all,DeathKnight,Frost,DPS,Den of Nalorakk,1024,1019,853,120491,121122,161235,0.97,50.1,292.9
all,DeathKnight,Frost,DPS,Kings' Rest,1067,1061,882,102081,103659,134321,1.14,40.7,292.6
all,DeathKnight,Frost,DPS,Murder Row,1181,1173,910,130872,129149,179943,0.92,51.1,293.0
all,DeathKnight,Frost,DPS,Ruby Life Pools,1121,1116,912,145461,147095,193875,0.87,55.5,292.5
all,DeathKnight,Frost,DPS,Temple of Sethraliss,1207,1198,961,134866,135338,185834,0.7,56.8,293.0
all,DeathKnight,Frost,DPS,The Blinding Vale,1222,1215,944,148040,147848,194589,1.05,49.7,293.4
all,DeathKnight,Frost,DPS,Voidscar Arena,1202,1195,938,133253,132658,176902,1.17,45.2,293.2
all,DeathKnight,Unholy,DPS,Altar of Fangs,3537,3473,2557,171473,171964,224463,1.28,42.0,294.1
all,DeathKnight,Unholy,DPS,Den of Nalorakk,3100,3038,2471,133295,135294,169806,0.88,50.3,293.7
all,DeathKnight,Unholy,DPS,Kings' Rest,3245,3202,2540,113339,115180,142251,1.03,46.4,293.7
all,DeathKnight,Unholy,DPS,Murder Row,3913,3854,2711,148039,150514,190597,1.07,44.6,294.3
