subset,class,spec,role,key_level,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,DeathKnight,Blood,Tank,2,1729,1729,1564,72718,70813,98678,0.04,96.1,292.4,142,66.9,27.5,5.6,3006.0
all,DeathKnight,Blood,Tank,3,319,319,311,70932,69710,94604,0.07,93.1,291.6,5,80.0,20.0,0.0,3093.0
all,DeathKnight,Blood,Tank,4,732,732,705,75994,74772,99806,0.03,97.4,292.3,40,85.0,15.0,0.0,3090.0
all,DeathKnight,Blood,Tank,5,1499,1499,1384,84790,83090,113135,0.05,95.7,294.0,92,63.0,34.8,2.2,2905.0
all,DeathKnight,Blood,Tank,6,990,988,883,87071,85044,114537,0.03,97.7,294.2,49,75.5,22.4,2.0,2904.0
all,DeathKnight,Blood,Tank,7,721,721,683,102259,98960,136016,0.05,95.6,296.5,34,47.1,47.1,5.9,2951.0
all,DeathKnight,Blood,Tank,8,715,715,680,113209,112517,144175,0.04,95.7,297.6,35,45.7,48.6,5.7,2949.0
all,DeathKnight,Blood,Tank,9,998,998,910,114435,112332,148154,0.05,95.3,298.9,32,43.8,40.6,15.6,2899.0
all,DeathKnight,Blood,Tank,10,7095,7095,2865,123254,122348,157829,0.07,94.0,301.1,281,53.7,14.2,32.0,2851.0
all,DeathKnight,Blood,Tank,11,6695,6695,3778,117388,115745,153767,0.23,85.2,299.8,156,39.7,31.4,28.8,2944.0
all,DeathKnight,Blood,Tank,12,6694,6693,3597,118080,116918,150877,0.15,89.1,303.8,142,42.3,33.8,23.9,3044.0
all,DeathKnight,Blood,Tank,13,6197,6196,3015,122085,121673,152321,0.1,91.7,306.4,243,33.3,47.3,19.3,3107.0
all,DeathKnight,Blood,Tank,14,4914,4914,1988,128305,127746,158476,0.18,85.7,308.0,324,25.6,52.5,21.9,3142.0
all,DeathKnight,Blood,Tank,15,2040,2040,763,139414,139286,172084,0.2,85.5,309.4,167,19.2,49.1,31.7,3224.0
all,DeathKnight,Blood,Tank,16,704,704,230,155573,156448,190876,0.19,84.7,310.7,72,6.9,33.3,59.7,3255.0
all,DeathKnight,Blood,Tank,17,220,220,61,172987,172148,213069,0.2,85.5,311.6,4,0.0,0.0,100.0,3281.0
all,DeathKnight,Blood,Tank,18,51,51,17,190121,189841,226411,0.16,90.2,312.4,0,,,,
all,DeathKnight,Frost,DPS,2,218,218,201,102222,101954,145137,0.14,88.5,290.7,16,56.2,37.5,6.2,3299.0
all,DeathKnight,Frost,DPS,3,39,39,39,94742,95273,125490,0.15,87.2,290.0,2,100.0,0.0,0.0,
all,DeathKnight,Frost,DPS,4,81,81,80,115962,113866,152871,0.09,92.6,294.0,4,25.0,75.0,0.0,2235.0
all,DeathKnight,Frost,DPS,5,168,168,160,126830,122832,165189,0.09,92.9,293.4,12,66.7,16.7,16.7,2868.0
all,DeathKnight,Frost,DPS,6,107,107,101,138135,133602,179612,0.12,88.8,295.6,7,57.1,28.6,14.3,
all,DeathKnight,Frost,DPS,7,64,64,62,158492,156668,198014,0.16,85.9,296.6,5,40.0,40.0,20.0,2522.0
all,DeathKnight,Frost,DPS,8,62,61,59,187380,187286,226778,0.08,91.9,297.6,1,0.0,0.0,100.0,2976.0
all,DeathKnight,Frost,DPS,9,67,66,64,179503,178102,225845,0.18,85.1,296.4,2,50.0,50.0,0.0,2953.0
all,DeathKnight,Frost,DPS,10,559,552,284,193116,191690,243195,0.29,75.8,299.1,18,38.9,16.7,44.4,2864.0
all,DeathKnight,Frost,DPS,11,447,446,299,176440,178979,223224,0.84,54.6,297.1,4,25.0,50.0,25.0,2880.0
all,DeathKnight,Frost,DPS,12,328,328,210,177586,177774,226240,0.65,58.8,300.9,9,22.2,33.3,44.4,3054.0
all,DeathKnight,Frost,DPS,13,256,256,150,191477,189935,231018,0.45,65.2,303.5,4,25.0,25.0,50.0,3088.0
all,DeathKnight,Frost,DPS,14,196,196,94,202788,203881,239014,0.56,57.1,306.1,24,8.3,58.3,33.3,3070.0
all,DeathKnight,Frost,DPS,15,54,54,24,209295,210998,244906,0.65,55.6,307.2,9,0.0,44.4,55.6,3010.0
