subset,class,spec,role,reset_bucket,reset_start,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,DeathKnight,Blood,Tank,0,2026-08-11,335,335,167,179031,177562,246426,0.68,67.5,332.4
all,DeathKnight,Blood,Tank,1,2026-08-04,485,485,252,168483,165046,242129,0.71,60.2,330.9
all,DeathKnight,Blood,Tank,2,2026-07-28,439,439,210,167644,162910,232289,0.81,57.2,330.9
all,DeathKnight,Blood,Tank,3,2026-07-21,162,162,70,170892,161564,242486,0.8,57.4,332.1
all,DeathKnight,Blood,Tank,4,2026-07-14,62,62,36,140443,140342,194323,0.79,58.1,331.4
all,DeathKnight,Blood,Tank,5,2026-07-07,61,61,42,116468,107048,175079,0.62,59.0,325.9
all,DeathKnight,Blood,Tank,6,2026-06-30,37,37,24,110046,104710,159376,1.46,54.1,319.7
all,DeathKnight,Blood,Tank,7,2026-06-23,20,20,15,108314,101254,144743,1.7,30.0,318.9
all,DeathKnight,Frost,DPS,0,2026-08-11,32,32,26,236272,242240,338983,1.62,31.2,330.3
all,DeathKnight,Frost,DPS,1,2026-08-04,58,58,47,245869,231409,336980,2.07,24.1,330.6
all,DeathKnight,Frost,DPS,2,2026-07-28,53,53,36,245530,236463,335028,2.11,22.6,331.1
all,DeathKnight,Frost,DPS,3,2026-07-21,77,76,48,237908,238484,326642,1.88,35.1,332.0
all,DeathKnight,Frost,DPS,4,2026-07-14,120,118,67,243388,242960,336337,1.42,30.8,332.0
all,DeathKnight,Frost,DPS,5,2026-07-07,152,146,107,231128,239609,316101,1.73,30.3,327.2
all,DeathKnight,Frost,DPS,6,2026-06-30,181,163,88,263499,263398,356216,2.29,19.3,325.0
all,DeathKnight,Frost,DPS,7,2026-06-23,55,54,33,277929,272512,371432,2.36,18.2,321.2
all,DeathKnight,Unholy,DPS,0,2026-08-11,45,45,34,278522,259048,392773,1.36,33.3,331.7
all,DeathKnight,Unholy,DPS,1,2026-08-04,119,119,72,255580,258050,354240,1.93,27.7,330.3
all,DeathKnight,Unholy,DPS,2,2026-07-28,131,131,82,257055,253298,352093,1.67,29.8,331.0
all,DeathKnight,Unholy,DPS,3,2026-07-21,60,59,42,247724,241496,327683,1.67,26.7,331.8
all,DeathKnight,Unholy,DPS,4,2026-07-14,33,33,26,178677,174742,258890,1.97,27.3,329.7
all,DeathKnight,Unholy,DPS,5,2026-07-07,51,51,38,183636,178993,263818,1.67,37.3,324.7
all,DeathKnight,Unholy,DPS,6,2026-06-30,67,66,45,231305,226477,316844,2.88,22.4,323.0
all,DeathKnight,Unholy,DPS,7,2026-06-23,39,36,32,226925,218634,299056,4.38,10.3,316.6
all,DemonHunter,Devourer,DPS,0,2026-08-11,91,90,63,238206,238388,317642,2.41,16.5,330.4
all,DemonHunter,Devourer,DPS,1,2026-08-04,226,223,136,264189,264652,358330,2.22,20.8,331.3
all,DemonHunter,Devourer,DPS,2,2026-07-28,280,277,137,269186,273691,360662,2.18,20.7,331.9
all,DemonHunter,Devourer,DPS,3,2026-07-21,195,189,92,247929,245716,344244,2.52,16.4,331.1
all,DemonHunter,Devourer,DPS,4,2026-07-14,147,137,66,259830,248529,359233,2.03,21.8,331.1
all,DemonHunter,Devourer,DPS,5,2026-07-07,85,83,51,225828,229788,324177,2.42,14.1,329.4
all,DemonHunter,Devourer,DPS,6,2026-06-30,44,44,24,167129,167268,207494,3.27,13.6,320.3
all,DemonHunter,Devourer,DPS,7,2026-06-23,15,15,13,165484,159854,217176,4.0,6.7,318.1
all,DemonHunter,Havoc,DPS,0,2026-08-11,30,30,19,252208,251914,337223,1.7,30.0,331.0
all,DemonHunter,Havoc,DPS,1,2026-08-04,70,70,40,246348,249327,328965,1.53,31.4,330.7
all,DemonHunter,Havoc,DPS,2,2026-07-28,53,53,32,222704,219138,306261,2.4,18.9,328.6
all,DemonHunter,Havoc,DPS,3,2026-07-21,11,11,11,164899,188166,220830,4.55,9.1,328.1
all,DemonHunter,Havoc,DPS,4,2026-07-14,22,22,15,199323,201003,267398,2.91,9.1,330.5
all,DemonHunter,Havoc,DPS,5,2026-07-07,34,33,21,189392,180986,257591,2.18,14.7,322.8
all,DemonHunter,Havoc,DPS,6,2026-06-30,35,35,25,217373,201301,300642,3.09,14.3,323.8
all,DemonHunter,Havoc,DPS,7,2026-06-23,18,18,15,198509,191144,302538,2.5,22.2,319.3
all,DemonHunter,Vengeance,Tank,0,2026-08-11,28,28,12,132418,128407,184443,1.11,46.4,329.4
all,DemonHunter,Vengeance,Tank,1,2026-08-04,73,73,38,135349,135162,194971,1.11,50.7,329.9
all,DemonHunter,Vengeance,Tank,2,2026-07-28,68,68,41,143192,142550,192565,0.68,55.9,331.1
all,DemonHunter,Vengeance,Tank,3,2026-07-21,35,35,26,115569,110500,150676,1.94,31.4,327.6
all,DemonHunter,Vengeance,Tank,4,2026-07-14,64,64,43,120773,116664,168261,1.3,46.9,329.5
all,DemonHunter,Vengeance,Tank,5,2026-07-07,56,56,37,113677,110552,160142,1.25,42.9,326.5
all,DemonHunter,Vengeance,Tank,6,2026-06-30,40,40,25,113842,107316,164745,2.02,40.0,320.7
all,DemonHunter,Vengeance,Tank,7,2026-06-23,10,10,10,106682,101330,150106,1.8,30.0,317.6
all,DemonHunter,Vengeance,Tank,8,2026-06-16,1,1,1,184606,184606,184606,0.0,100.0,518.0
all,Druid,Balance,DPS,0,2026-08-11,78,78,54,263873,262542,338377,1.79,26.9,332.2
all,Druid,Balance,DPS,1,2026-08-04,198,197,116,245575,244641,338285,2.39,23.7,330.6
all,Druid,Balance,DPS,2,2026-07-28,266,265,144,247152,244740,327991,2.56,18.0,331.6
all,Druid,Balance,DPS,3,2026-07-21,180,179,116,254137,252360,337549,2.73,21.7,331.6
all,Druid,Balance,DPS,4,2026-07-14,205,205,122,253472,244424,339686,2.07,15.1,332.3
all,Druid,Balance,DPS,5,2026-07-07,98,97,57,239994,241192,302392,1.87,21.4,330.7
all,Druid,Balance,DPS,6,2026-06-30,22,22,14,206599,200790,279970,2.86,13.6,323.9
all,Druid,Balance,DPS,7,2026-06-23,13,13,10,166744,152123,219544,4.31,7.7,318.0
all,Druid,Feral,DPS,0,2026-08-11,8,8,6,260556,279374,316752,2.5,25.0,332.4
