subset,class,spec,role,week_start,parses,runs,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,DeathKnight,Blood,Tank,2026-06-22,24,24,119651,120121,154802,1.5,33.3,319.9
all,DeathKnight,Blood,Tank,2026-06-29,61,61,110994,104246,165956,1.11,60.7,320.2
all,DeathKnight,Blood,Tank,2026-07-06,101,101,123410,114151,172616,0.7,53.5,327.1
all,DeathKnight,Blood,Tank,2026-07-13,92,92,139430,137428,185660,0.76,66.3,330.8
all,DeathKnight,Blood,Tank,2026-07-20,345,345,173739,165193,242969,0.74,62.0,331.5
all,DeathKnight,Blood,Tank,2026-07-27,482,482,173679,172116,238804,0.68,61.0,331.4
all,DeathKnight,Frost,DPS,2026-06-22,135,131,286693,279134,388034,2.25,20.7,322.2
all,DeathKnight,Frost,DPS,2026-06-29,297,265,260913,257786,340558,2.08,22.6,325.8
all,DeathKnight,Frost,DPS,2026-07-06,234,230,244696,252024,326048,1.51,28.6,330.7
all,DeathKnight,Frost,DPS,2026-07-13,124,124,246835,232507,357435,1.21,45.2,331.5
all,DeathKnight,Frost,DPS,2026-07-20,90,89,235054,232880,336480,2.06,38.9,331.8
all,DeathKnight,Frost,DPS,2026-07-27,52,52,275825,280518,352810,1.98,15.4,330.4
all,DeathKnight,Unholy,DPS,2026-06-22,65,61,228316,211207,327787,4.69,15.4,317.7
all,DeathKnight,Unholy,DPS,2026-06-29,88,87,229494,231604,307646,1.88,29.5,323.6
all,DeathKnight,Unholy,DPS,2026-07-06,70,70,176069,169678,256021,1.4,42.9,326.6
all,DeathKnight,Unholy,DPS,2026-07-13,29,29,190571,187851,277741,2.45,13.8,330.9
all,DeathKnight,Unholy,DPS,2026-07-20,153,151,258558,256145,353237,1.61,30.1,331.5
all,DeathKnight,Unholy,DPS,2026-07-27,143,143,253074,253298,339081,1.89,28.0,330.8
all,DemonHunter,Devourer,DPS,2026-06-22,41,41,181438,178344,219867,2.9,7.3,319.3
all,DemonHunter,Devourer,DPS,2026-06-29,56,56,156787,152528,206564,3.43,16.1,321.0
all,DemonHunter,Devourer,DPS,2026-07-06,191,189,240550,235436,335484,1.99,23.6,330.5
all,DemonHunter,Devourer,DPS,2026-07-13,260,228,269948,271174,366188,2.3,18.5,331.3
all,DemonHunter,Devourer,DPS,2026-07-20,261,257,266819,261349,365464,2.26,14.6,332.0
all,DemonHunter,Devourer,DPS,2026-07-27,361,359,277748,282047,378989,2.04,23.5,331.8
all,DemonHunter,Havoc,DPS,2026-06-22,43,43,225115,219051,324784,2.16,25.6,322.0
all,DemonHunter,Havoc,DPS,2026-06-29,41,41,186673,187393,239474,3.17,7.3,321.6
all,DemonHunter,Havoc,DPS,2026-07-06,42,41,203324,195183,274011,2.31,11.9,329.0
all,DemonHunter,Havoc,DPS,2026-07-13,16,16,135368,110062,215634,3.12,6.2,324.2
all,DemonHunter,Havoc,DPS,2026-07-20,22,22,214401,200992,264231,4.0,22.7,330.5
all,DemonHunter,Havoc,DPS,2026-07-27,40,40,222785,226687,297468,2.15,22.5,329.1
all,DemonHunter,Vengeance,Tank,2026-06-15,1,1,184606,184606,184606,0.0,100.0,518.0
all,DemonHunter,Vengeance,Tank,2026-06-22,25,25,121047,124579,156720,2.04,32.0,319.2
all,DemonHunter,Vengeance,Tank,2026-06-29,68,68,109570,106016,161700,1.76,39.7,323.0
all,DemonHunter,Vengeance,Tank,2026-07-06,110,110,132993,125872,191379,0.78,60.9,329.8
all,DemonHunter,Vengeance,Tank,2026-07-13,60,60,107657,106110,137403,2.0,33.3,327.7
all,DemonHunter,Vengeance,Tank,2026-07-20,79,79,134900,130717,182528,1.13,45.6,331.3
all,DemonHunter,Vengeance,Tank,2026-07-27,67,67,157238,155581,214886,1.0,53.7,332.3
all,Druid,Balance,DPS,2026-06-22,17,17,177865,158045,237872,4.24,11.8,319.6
all,Druid,Balance,DPS,2026-06-29,33,33,214652,207416,267612,2.33,9.1,324.8
all,Druid,Balance,DPS,2026-07-06,245,243,253157,246737,342039,1.94,18.8,332.0
all,Druid,Balance,DPS,2026-07-13,236,236,263695,259412,347697,2.5,15.3,331.9
all,Druid,Balance,DPS,2026-07-20,259,258,241515,234942,325819,2.61,25.9,331.8
all,Druid,Balance,DPS,2026-07-27,256,254,257292,258792,339125,2.41,21.1,331.3
all,Druid,Feral,DPS,2026-06-15,1,1,266175,266175,266175,0.0,100.0,519.0
all,Druid,Feral,DPS,2026-06-22,17,17,228749,204391,310661,3.94,5.9,319.6
all,Druid,Feral,DPS,2026-06-29,46,46,220286,227501,293412,2.46,13.0,324.3
all,Druid,Feral,DPS,2026-07-06,23,23,189269,182070,246278,1.04,52.2,324.4
all,Druid,Feral,DPS,2026-07-13,20,20,234072,246838,273651,2.45,20.0,333.4
all,Druid,Feral,DPS,2026-07-20,19,19,256842,260050,319888,3.89,5.3,333.3
all,Druid,Feral,DPS,2026-07-27,30,30,261932,278247,347190,2.63,13.3,331.8
all,Druid,Guardian,Tank,2026-06-22,38,38,96389,91212,126528,3.42,18.4,315.6
all,Druid,Guardian,Tank,2026-06-29,35,35,100570,88512,133395,1.57,25.7,320.6
all,Druid,Guardian,Tank,2026-07-06,47,47,104465,91390,169558,0.79,55.3,328.3
all,Druid,Guardian,Tank,2026-07-13,35,35,118338,109606,160017,0.91,60.0,331.0
all,Druid,Guardian,Tank,2026-07-20,19,19,98194,94098,125742,1.74,15.8,328.5
all,Druid,Guardian,Tank,2026-07-27,43,43,139635,138190,194589,0.58,60.5,329.5
all,Druid,Restoration,Healer,2026-06-22,32,32,10053,7202,19754,3.62,6.2,317.5
all,Druid,Restoration,Healer,2026-06-29,26,26,12208,7622,25821,3.35,7.7,322.0
all,Druid,Restoration,Healer,2026-07-06,63,63,14307,9257,25935,1.56,19.0,330.7
all,Druid,Restoration,Healer,2026-07-13,23,23,8680,5279,19939,2.91,13.0,326.7
all,Druid,Restoration,Healer,2026-07-20,41,41,16455,15294,27011,3.39,7.3,331.5
all,Druid,Restoration,Healer,2026-07-27,18,18,15127,12392,26597,1.61,33.3,331.1
all,Evoker,Augmentation,DPS,2026-06-22,67,67,201495,209060,250692,2.81,19.4,320.9
all,Evoker,Augmentation,DPS,2026-06-29,140,140,212892,224534,276127,2.76,13.6,323.3
all,Evoker,Augmentation,DPS,2026-07-06,113,113,186383,177898,254009,1.8,28.3,326.8
all,Evoker,Augmentation,DPS,2026-07-13,41,41,158979,143589,225108,2.05,39.0,324.8
all,Evoker,Augmentation,DPS,2026-07-20,88,88,185935,171079,289513,2.59,8.0,327.2
all,Evoker,Augmentation,DPS,2026-07-27,21,21,238515,225756,342569,1.52,47.6,327.7
all,Evoker,Devastation,DPS,2026-06-22,16,16,153801,153766,195308,4.75,0.0,315.8
all,Evoker,Devastation,DPS,2026-06-29,29,24,173834,163720,214391,2.79,13.8,318.6
all,Evoker,Devastation,DPS,2026-07-06,24,24,179137,188752,229322,2.58,29.2,324.1
all,Evoker,Devastation,DPS,2026-07-13,23,23,201895,197544,237755,1.87,21.7,326.7
all,Evoker,Devastation,DPS,2026-07-20,16,16,218119,227546,255816,2.88,6.2,331.6
all,Evoker,Devastation,DPS,2026-07-27,34,30,204226,207509,258766,2.97,14.7,328.6
all,Evoker,Preservation,Healer,2026-06-22,21,21,34075,29179,62640,4.1,0.0,329.7
all,Evoker,Preservation,Healer,2026-06-29,65,65,59162,57828,98410,3.6,12.3,324.2
all,Evoker,Preservation,Healer,2026-07-06,79,79,52307,53702,85697,2.8,8.9,329.1
all,Evoker,Preservation,Healer,2026-07-13,77,77,59788,57042,94876,2.77,19.5,330.6
all,Evoker,Preservation,Healer,2026-07-20,55,55,61053,59768,94998,2.25,16.4,331.1
all,Evoker,Preservation,Healer,2026-07-27,72,72,67970,75945,93011,2.47,25.0,332.0
all,Hunter,BeastMastery,DPS,2026-06-22,42,42,179581,173993,233944,5.67,2.4,320.6
all,Hunter,BeastMastery,DPS,2026-06-29,117,112,212118,212969,278057,2.7,16.2,324.0
all,Hunter,BeastMastery,DPS,2026-07-06,80,80,220586,207773,321940,2.11,25.0,328.6
all,Hunter,BeastMastery,DPS,2026-07-13,30,30,191938,195113,271363,3.1,10.0,330.5
all,Hunter,BeastMastery,DPS,2026-07-20,23,23,250045,236608,356216,2.26,34.8,332.3
all,Hunter,BeastMastery,DPS,2026-07-27,20,20,206264,175124,340755,2.7,10.0,325.6
all,Hunter,Marksmanship,DPS,2026-06-22,12,12,171935,200150,224702,3.92,16.7,322.6
all,Hunter,Marksmanship,DPS,2026-06-29,21,21,160204,183890,205070,3.1,4.8,323.0
all,Hunter,Marksmanship,DPS,2026-07-06,69,66,216927,199690,287104,1.84,30.4,330.9
all,Hunter,Marksmanship,DPS,2026-07-13,139,138,279753,282021,368582,2.58,10.8,332.0
all,Hunter,Marksmanship,DPS,2026-07-20,337,335,288248,285476,386136,2.41,20.5,332.7
all,Hunter,Marksmanship,DPS,2026-07-27,278,274,286122,288914,381816,1.94,22.3,332.3
all,Hunter,Survival,DPS,2026-06-22,17,17,203010,211693,273136,3.94,5.9,315.5
all,Hunter,Survival,DPS,2026-06-29,42,42,207376,204370,275829,2.17,26.2,323.0
all,Hunter,Survival,DPS,2026-07-06,62,62,216988,221451,295888,1.89,12.9,329.6
all,Hunter,Survival,DPS,2026-07-13,89,88,227017,221888,301564,2.65,20.2,329.7
all,Hunter,Survival,DPS,2026-07-20,37,37,218523,229216,315622,3.19,21.6,331.2
all,Hunter,Survival,DPS,2026-07-27,17,17,291162,321301,368083,1.88,29.4,333.2
all,Mage,Arcane,DPS,2026-06-22,63,63,171406,155457,245318,4.22,11.1,318.3
all,Mage,Arcane,DPS,2026-06-29,319,301,236510,236128,312978,2.68,20.4,325.2
all,Mage,Arcane,DPS,2026-07-06,480,463,247589,243184,329638,1.73,26.0,329.9
all,Mage,Arcane,DPS,2026-07-13,523,503,262864,256449,360345,2.0,26.0,331.7
all,Mage,Arcane,DPS,2026-07-20,401,395,238915,238032,311321,2.43,20.9,331.3
all,Mage,Arcane,DPS,2026-07-27,416,414,272602,265913,380597,1.77,23.8,331.5
all,Mage,Fire,DPS,2026-06-22,4,4,171163,165658,181071,3.5,0.0,324.8
all,Mage,Fire,DPS,2026-06-29,6,6,174215,165744,207276,3.5,0.0,319.3
all,Mage,Fire,DPS,2026-07-06,70,70,248437,241898,341437,1.3,60.0,330.8
all,Mage,Fire,DPS,2026-07-13,28,28,266587,265619,328287,0.93,50.0,331.7
all,Mage,Fire,DPS,2026-07-20,24,24,204715,203860,281361,3.25,4.2,331.8
all,Mage,Fire,DPS,2026-07-27,7,7,285708,274019,347695,0.57,57.1,334.0
all,Mage,Frost,DPS,2026-06-22,19,19,187178,178546,254893,3.32,10.5,319.1
all,Mage,Frost,DPS,2026-06-29,19,19,182817,176111,255811,3.79,21.1,320.5
all,Mage,Frost,DPS,2026-07-06,7,7,186939,181403,218687,3.0,14.3,327.6
all,Mage,Frost,DPS,2026-07-13,27,26,167573,173307,201543,3.44,7.4,322.8
all,Mage,Frost,DPS,2026-07-20,38,38,251917,215198,362440,1.08,34.2,328.9
all,Mage,Frost,DPS,2026-07-27,16,16,208478,215540,265034,3.56,12.5,329.1
all,Monk,Brewmaster,Tank,2026-06-22,69,69,124135,123885,163712,2.07,31.9,322.8
all,Monk,Brewmaster,Tank,2026-06-29,54,54,103576,98392,148703,1.33,44.4,321.7
all,Monk,Brewmaster,Tank,2026-07-06,57,57,110013,97706,162789,0.91,43.9,327.3
all,Monk,Brewmaster,Tank,2026-07-13,21,21,127442,111347,180116,0.95,47.6,327.2
all,Monk,Brewmaster,Tank,2026-07-20,41,41,133830,138254,174547,1.24,41.5,331.1
all,Monk,Brewmaster,Tank,2026-07-27,30,30,137159,132818,178820,1.17,46.7,330.1
all,Monk,Mistweaver,Healer,2026-06-22,124,124,56479,54460,79873,2.65,22.6,321.6
all,Monk,Mistweaver,Healer,2026-06-29,249,249,57955,56392,77041,1.8,26.9,325.3
all,Monk,Mistweaver,Healer,2026-07-06,296,296,64495,62534,83669,1.26,39.2,331.7
all,Monk,Mistweaver,Healer,2026-07-13,373,373,70638,68930,92310,1.43,36.7,331.8
all,Monk,Mistweaver,Healer,2026-07-20,332,332,68423,67725,88188,1.64,32.2,332.3
all,Monk,Mistweaver,Healer,2026-07-27,112,112,53788,54404,69318,1.78,25.9,329.4
all,Monk,Windwalker,DPS,2026-06-22,13,13,184778,174924,244719,5.08,0.0,318.0
all,Monk,Windwalker,DPS,2026-06-29,24,24,191426,188916,244294,2.71,0.0,324.2
all,Monk,Windwalker,DPS,2026-07-06,42,42,193488,191884,265450,1.79,19.0,327.2
all,Monk,Windwalker,DPS,2026-07-13,12,12,241326,254122,341077,2.25,41.7,331.8
all,Monk,Windwalker,DPS,2026-07-20,62,62,281818,273734,375281,2.16,17.7,332.5
all,Monk,Windwalker,DPS,2026-07-27,130,127,300879,309105,393499,2.48,16.9,332.9
all,Paladin,Holy,Healer,2026-06-22,35,35,33302,19714,43114,2.83,11.4,321.3
all,Paladin,Holy,Healer,2026-06-29,47,47,27602,20580,49476,2.13,21.3,321.7
all,Paladin,Holy,Healer,2026-07-06,126,126,35808,30846,65882,1.6,27.8,330.2
all,Paladin,Holy,Healer,2026-07-13,120,120,34017,31736,56041,1.58,25.8,331.0
all,Paladin,Holy,Healer,2026-07-20,207,207,35698,32472,62316,1.96,28.5,331.3
all,Paladin,Holy,Healer,2026-07-27,419,419,42656,39330,67067,1.52,31.0,332.4
all,Paladin,Protection,Tank,2026-06-22,121,121,144054,140092,205404,1.58,45.5,318.2
all,Paladin,Protection,Tank,2026-06-29,359,359,152837,153838,207499,0.91,56.8,325.3
all,Paladin,Protection,Tank,2026-07-06,565,565,164810,156081,245358,0.78,54.7,330.6
all,Paladin,Protection,Tank,2026-07-13,651,651,168578,161413,239416,0.97,51.5,331.9
all,Paladin,Protection,Tank,2026-07-20,451,451,145343,141410,189946,0.94,55.4,331.4
all,Paladin,Protection,Tank,2026-07-27,342,342,146420,146710,197828,0.81,55.8,332.0
all,Paladin,Retribution,DPS,2026-06-22,81,79,235960,231137,307022,3.25,14.8,325.5
all,Paladin,Retribution,DPS,2026-06-29,127,127,209272,205001,274730,2.54,16.5,325.0
all,Paladin,Retribution,DPS,2026-07-06,123,122,199989,201547,262738,1.98,23.6,328.9
all,Paladin,Retribution,DPS,2026-07-13,78,78,203293,200251,312272,2.13,24.4,327.8
all,Paladin,Retribution,DPS,2026-07-20,92,92,237213,225098,327633,2.4,18.5,331.3
all,Paladin,Retribution,DPS,2026-07-27,106,105,248774,244278,352574,2.32,15.1,330.8
all,Priest,Discipline,Healer,2026-06-22,36,36,30236,23416,61494,5.22,11.1,318.2
all,Priest,Discipline,Healer,2026-06-29,134,134,45004,44536,66487,2.54,20.1,324.4
all,Priest,Discipline,Healer,2026-07-06,193,193,43917,35029,79085,1.77,30.1,328.4
all,Priest,Discipline,Healer,2026-07-13,147,147,37830,29056,75178,2.22,19.7,330.1
all,Priest,Discipline,Healer,2026-07-20,110,110,37352,31788,66625,2.2,24.5,329.3
all,Priest,Discipline,Healer,2026-07-27,97,97,40024,31283,80578,2.32,23.7,331.1
all,Priest,Holy,Healer,2026-06-22,8,8,10855,8022,17045,3.62,12.5,316.6
all,Priest,Holy,Healer,2026-06-29,10,10,17482,18200,25342,1.4,70.0,324.1
all,Priest,Holy,Healer,2026-07-06,28,28,19971,19835,31134,0.89,46.4,329.2
all,Priest,Holy,Healer,2026-07-13,32,32,23441,23083,34522,1.31,40.6,330.8
all,Priest,Holy,Healer,2026-07-20,33,33,27355,24478,46151,1.76,39.4,329.7
all,Priest,Holy,Healer,2026-07-27,28,28,30178,35786,45107,1.25,39.3,330.8
all,Priest,Shadow,DPS,2026-06-15,1,1,224730,224730,224730,1.0,0.0,499.0
all,Priest,Shadow,DPS,2026-06-22,17,17,190578,195738,238271,4.0,0.0,321.1
all,Priest,Shadow,DPS,2026-06-29,58,58,211763,207108,268229,3.64,10.3,323.1
all,Priest,Shadow,DPS,2026-07-06,103,103,248635,258897,327610,1.52,29.1,330.8
