subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
all,DeathKnight,Blood,Deathbringer,Tank,476,476,175,137417,131770,195342,0.88,60.7,329.0
all,DeathKnight,Blood,San'layn,Tank,718,718,266,176157,170914,242738,0.74,57.9,330.9
all,DeathKnight,Blood,Unknown,Tank,71,71,35,185596,176422,250239,0.45,73.2,331.3
all,DeathKnight,Frost,Deathbringer,DPS,560,554,234,251077,250662,338148,1.77,30.9,328.5
all,DeathKnight,Frost,Rider of the Apocalypse,DPS,287,262,122,264985,254682,359344,2.05,24.0,327.1
all,DeathKnight,Frost,Unknown,DPS,93,87,57,271840,272770,348905,1.6,23.7,329.0
all,DeathKnight,Unholy,Rider of the Apocalypse,DPS,309,304,151,212486,201299,312869,2.49,30.7,325.1
all,DeathKnight,Unholy,San'layn,DPS,224,223,106,268032,272146,354681,1.85,24.6,331.8
all,DeathKnight,Unholy,Unknown,DPS,53,52,34,240642,248618,312344,1.26,34.0,327.8
all,DemonHunter,Devourer,Aldrachi Reaver,DPS,1,1,1,157559,157559,157559,2.0,0.0,321.0
all,DemonHunter,Devourer,Annihilator,DPS,735,729,262,265860,266921,366205,2.15,20.5,331.0
all,DemonHunter,Devourer,Unknown,DPS,78,76,52,264061,273650,361500,2.24,23.1,332.0
all,DemonHunter,Devourer,Void-Scarred,DPS,452,449,132,247221,237608,358201,2.47,15.9,329.8
all,DemonHunter,Havoc,Aldrachi Reaver,DPS,55,55,32,209809,202962,267939,1.87,16.4,328.4
all,DemonHunter,Havoc,Fel-Scarred,DPS,190,189,98,208910,201946,297254,2.6,18.9,325.8
all,DemonHunter,Havoc,Unknown,DPS,19,19,10,223826,233773,268306,2.05,21.1,327.8
all,DemonHunter,Vengeance,Aldrachi Reaver,Tank,14,14,8,134946,135506,180892,0.5,78.6,333.1
all,DemonHunter,Vengeance,Annihilator,Tank,395,395,155,127519,123384,185095,1.32,47.3,327.9
all,DemonHunter,Vengeance,Unknown,Tank,21,21,16,149891,141705,197476,0.76,42.9,341.0
all,Druid,Balance,Elune's Chosen,DPS,1028,1024,389,249572,245970,338793,2.4,19.8,331.1
all,Druid,Balance,Keeper of the Grove,DPS,11,11,8,189638,181061,328785,3.64,18.2,328.8
all,Druid,Balance,Unknown,DPS,94,93,61,265752,253834,355807,2.16,19.1,332.7
all,Druid,Feral,Druid of the Claw,DPS,127,127,58,227393,229987,304264,2.78,18.1,327.3
all,Druid,Feral,Unknown,DPS,29,29,7,249562,261199,313103,1.93,20.7,336.2
all,Druid,Feral,Wildstalker,DPS,5,5,3,188959,182070,236118,1.8,20.0,322.4
all,Druid,Guardian,Druid of the Claw,Tank,17,17,12,109461,107769,133466,1.82,35.3,329.1
all,Druid,Guardian,Elune's Chosen,Tank,203,203,99,110482,101396,169574,1.35,44.3,325.0
