subset,class,spec,characters,parses,median_dps,projected_median_dps,avg_dps,projected_avg_dps,median_change_pct,avg_change_pct,tuned
post_tuning,DeathKnight,Frost,67,98,234870,247944,239637,251818,5.57,5.08,True
post_tuning,Shaman,Enhancement,41,59,237894,249194,244686,256367,4.75,4.77,True
post_tuning,Warrior,Fury,16,20,225093,235197,225348,235094,4.49,4.33,True
post_tuning,Rogue,Assassination,44,72,269032,279620,267504,278108,3.94,3.96,True
post_tuning,Warlock,Demonology,33,59,201464,206299,216618,221556,2.4,2.28,True
post_tuning,DeathKnight,Unholy,98,168,257901,257901,266812,266812,0.0,0.0,False
post_tuning,DemonHunter,Havoc,69,131,246853,246853,246696,246696,0.0,0.0,False
post_tuning,Druid,Balance,164,294,245856,245856,246596,246596,0.0,0.0,False
post_tuning,Druid,Feral,26,53,264810,264810,268332,268332,0.0,0.0,False
post_tuning,Evoker,Augmentation,19,53,216257,216257,210711,210711,0.0,0.0,False
post_tuning,Evoker,Devastation,25,79,252995,252995,252240,252240,0.0,0.0,False
post_tuning,Hunter,Marksmanship,74,113,233391,233391,239995,239995,0.0,0.0,False
post_tuning,Hunter,Survival,22,29,223031,223031,227540,227540,0.0,0.0,False
post_tuning,Mage,Fire,14,20,213790,213790,215679,215679,0.0,0.0,False
post_tuning,Mage,Frost,9,13,179298,179298,184417,184417,0.0,0.0,False
post_tuning,Monk,Windwalker,95,187,260513,260513,264861,264861,0.0,0.0,False
post_tuning,Paladin,Retribution,75,115,214186,214186,227022,227022,0.0,0.0,False
post_tuning,Priest,Shadow,64,123,226880,226880,234640,234640,0.0,0.0,False
post_tuning,Rogue,Outlaw,71,128,261656,261656,269766,269766,0.0,0.0,False
post_tuning,Shaman,Elemental,218,489,284034,284034,287758,287758,0.0,0.0,False
post_tuning,Warlock,Affliction,42,83,240876,240876,238654,238654,0.0,0.0,False
post_tuning,Warlock,Destruction,55,91,255546,255546,258408,258408,0.0,0.0,False
post_tuning,Hunter,BeastMastery,25,38,250800,249104,241835,241907,-0.68,0.03,True
post_tuning,Rogue,Subtlety,38,58,258316,255796,257930,259178,-0.98,0.48,True
post_tuning,Warrior,Arms,347,701,281432,274330,281491,273662,-2.52,-2.78,True
post_tuning,DemonHunter,Devourer,185,333,256832,248238,258335,249684,-3.35,-3.35,True
post_tuning,Mage,Arcane,559,1169,279527,270110,282152,272743,-3.37,-3.33,True
post_tuning_timed,Shaman,Enhancement,27,34,264624,277380,258803,271159,4.82,4.77,True
post_tuning_timed,DeathKnight,Frost,39,51,245176,256233,252994,265365,4.51,4.89,True
post_tuning_timed,Warrior,Fury,11,11,224528,234594,225168,235194,4.48,4.45,True
post_tuning_timed,Rogue,Assassination,25,36,291267,302860,281992,293182,3.98,3.97,True
post_tuning_timed,Hunter,BeastMastery,14,21,262776,269818,258776,266620,2.68,3.03,True
post_tuning_timed,Warlock,Demonology,21,38,196819,202014,211085,215834,2.64,2.25,True
post_tuning_timed,Rogue,Subtlety,24,34,277458,282248,274545,276483,1.73,0.71,True
post_tuning_timed,DeathKnight,Unholy,60,97,273633,273633,282146,282146,0.0,0.0,False
post_tuning_timed,DemonHunter,Havoc,51,83,246302,246302,250867,250867,0.0,0.0,False
post_tuning_timed,Druid,Balance,118,192,249714,249714,252105,252105,0.0,0.0,False
post_tuning_timed,Druid,Feral,19,34,297785,297785,276301,276301,0.0,0.0,False
post_tuning_timed,Evoker,Augmentation,11,29,233967,233967,211932,211932,0.0,0.0,False
post_tuning_timed,Evoker,Devastation,15,39,265532,265532,267704,267704,0.0,0.0,False
post_tuning_timed,Hunter,Marksmanship,48,69,246875,246875,251113,251113,0.0,0.0,False
post_tuning_timed,Hunter,Survival,15,18,229523,229523,246363,246363,0.0,0.0,False
post_tuning_timed,Mage,Fire,7,11,223836,223836,240786,240786,0.0,0.0,False
post_tuning_timed,Mage,Frost,5,6,193153,193153,193394,193394,0.0,0.0,False
post_tuning_timed,Monk,Windwalker,68,105,263833,263833,263347,263347,0.0,0.0,False
post_tuning_timed,Paladin,Retribution,44,69,228638,228638,238383,238383,0.0,0.0,False
post_tuning_timed,Priest,Shadow,40,70,234842,234842,243276,243276,0.0,0.0,False
post_tuning_timed,Rogue,Outlaw,51,83,265301,265301,283195,283195,0.0,0.0,False
post_tuning_timed,Shaman,Elemental,137,285,298161,298161,303394,303394,0.0,0.0,False
post_tuning_timed,Warlock,Affliction,26,49,249043,249043,245887,245887,0.0,0.0,False
post_tuning_timed,Warlock,Destruction,38,55,270940,270940,272219,272219,0.0,0.0,False
post_tuning_timed,Warrior,Arms,257,445,291538,285059,291317,283684,-2.22,-2.62,True
post_tuning_timed,Mage,Arcane,390,715,294315,286058,295854,286192,-2.81,-3.27,True
post_tuning_timed,DemonHunter,Devourer,115,174,263712,255653,267955,258431,-3.06,-3.55,True
